"source","target","value"
"camping0","camping0",15
"camping0","entrance1",1
"camping0","general-gate7",14
"camping2","camping2",17
"camping2","entrance1",3
"camping2","general-gate7",14
"camping3","camping3",59
"camping3","entrance1",10
"camping3","general-gate7",49
"camping4","camping4",26
"camping4","entrance1",4
"camping4","general-gate7",22
"camping5","camping5",23
"camping5","general-gate7",23
"camping6","camping6",7
"camping6","entrance4",7
"entrance1","camping0",17
"entrance1","camping2",18
"entrance1","camping3",59
"entrance1","camping4",27
"entrance1","general-gate7",1143
"general-gate1","ranger-stop2",347
"general-gate2","entrance2",192
"general-gate2","general-gate5",155
"general-gate4","entrance0",428
"general-gate4","general-gate1",347
"general-gate5","camping6",7
"general-gate5","entrance4",148
"general-gate7","camping5",23
"general-gate7","entrance1",2
"general-gate7","entrance3",465
"general-gate7","general-gate4",775
"general-gate7","general-gate7",1
"ranger-stop0","general-gate2",347
"ranger-stop2","ranger-stop0",347
