"source","target","value"
"camping0","camping0",4
"camping0","general-gate7",4
"camping1","camping1",3
"camping1","entrance2",1
"camping1","general-gate0",1
"camping1","general-gate5",1
"camping3","camping3",12
"camping3","entrance1",1
"camping3","general-gate7",11
"camping4","camping4",3
"camping4","entrance1",1
"camping4","general-gate7",2
"camping5","camping5",3
"camping5","general-gate7",3
"camping6","camping6",8
"camping6","entrance2",2
"camping6","entrance4",2
"camping6","general-gate5",4
"camping7","camping7",7
"camping7","general-gate6",7
"camping8","camping8",4
"camping8","general-gate2",2
"camping8","general-gate3",1
"camping8","general-gate5",1
"entrance4","camping6",8
"entrance4","general-gate5",29
"entrance4","general-gate6",7
"general-gate0","general-gate2",1
"general-gate1","entrance0",4
"general-gate1","entrance3",6
"general-gate1","general-gate4",23
"general-gate1","ranger-stop2",12
"general-gate2","entrance2",6
"general-gate2","general-gate5",6
"general-gate2","ranger-stop0",33
"general-gate3","entrance2",1
"general-gate4","entrance0",2
"general-gate4","general-gate1",12
"general-gate4","general-gate7",23
"general-gate5","camping1",3
"general-gate5","camping8",4
"general-gate5","entrance4",8
"general-gate5","general-gate2",30
"general-gate6","camping7",7
"general-gate6","entrance2",3
"general-gate6","general-gate5",4
"general-gate7","camping0",4
"general-gate7","camping3",12
"general-gate7","camping4",3
"general-gate7","camping5",3
"general-gate7","entrance1",2
"general-gate7","entrance3",5
"general-gate7","general-gate4",14
"ranger-stop0","general-gate2",12
"ranger-stop0","ranger-stop2",33
"ranger-stop2","general-gate1",33
"ranger-stop2","ranger-stop0",12
