"source","target","value"
"camping0","camping0",5
"camping0","general-gate7",5
"camping1","camping1",1
"camping1","general-gate5",1
"camping2","camping2",1
"camping2","general-gate7",1
"camping3","camping3",4
"camping3","general-gate7",4
"camping4","camping4",3
"camping4","entrance1",1
"camping4","general-gate7",2
"camping5","camping5",2
"camping5","general-gate7",2
"camping6","camping6",12
"camping6","entrance2",3
"camping6","entrance4",4
"camping6","general-gate5",5
"camping7","camping7",4
"camping7","general-gate6",4
"camping8","camping8",3
"camping8","general-gate2",2
"camping8","general-gate5",1
"entrance3","entrance0",1
"entrance3","entrance3",2
"entrance3","general-gate1",20
"entrance3","general-gate7",15
"general-gate0","camping1",1
"general-gate1","entrance0",2
"general-gate1","entrance3",6
"general-gate1","general-gate4",1
"general-gate1","ranger-stop2",29
"general-gate2","camping8",3
"general-gate2","entrance2",4
"general-gate2","general-gate0",1
"general-gate2","general-gate5",21
"general-gate2","ranger-stop0",9
"general-gate4","entrance0",1
"general-gate4","general-gate1",9
"general-gate4","general-gate7",1
"general-gate5","camping6",12
"general-gate5","entrance4",7
"general-gate5","general-gate2",7
"general-gate5","general-gate6",4
"general-gate6","camping7",4
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",2
"general-gate7","camping0",5
"general-gate7","camping2",1
"general-gate7","camping3",4
"general-gate7","camping4",3
"general-gate7","camping5",2
"general-gate7","entrance1",1
"general-gate7","entrance3",4
"general-gate7","general-gate4",10
"ranger-stop0","general-gate2",29
"ranger-stop0","ranger-stop2",9
"ranger-stop2","general-gate1",9
"ranger-stop2","ranger-stop0",29
