"source","target","value"
"camping0","camping0",2
"camping0","general-gate7",2
"camping1","camping1",3
"camping1","general-gate0",3
"camping2","camping2",6
"camping2","general-gate7",6
"camping3","camping3",8
"camping3","entrance1",1
"camping3","general-gate7",7
"camping4","camping4",1
"camping4","general-gate7",1
"camping5","camping5",4
"camping5","general-gate7",4
"camping6","camping6",14
"camping6","entrance2",3
"camping6","entrance4",2
"camping6","general-gate5",9
"camping7","camping7",9
"camping7","general-gate6",9
"camping8","camping8",2
"camping8","general-gate2",2
"entrance0","general-gate1",28
"entrance0","general-gate4",21
"general-gate0","camping1",3
"general-gate0","general-gate2",3
"general-gate1","entrance0",2
"general-gate1","entrance3",14
"general-gate1","general-gate4",5
"general-gate1","ranger-stop2",39
"general-gate2","camping8",2
"general-gate2","entrance2",6
"general-gate2","general-gate0",3
"general-gate2","general-gate5",28
"general-gate2","ranger-stop0",21
"general-gate4","entrance0",2
"general-gate4","general-gate1",11
"general-gate4","general-gate7",26
"general-gate5","camping6",14
"general-gate5","entrance4",5
"general-gate5","general-gate2",16
"general-gate5","general-gate6",9
"general-gate6","camping7",9
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",7
"general-gate7","camping0",2
"general-gate7","camping2",6
"general-gate7","camping3",8
"general-gate7","camping4",1
"general-gate7","camping5",4
"general-gate7","entrance1",5
"general-gate7","entrance3",7
"general-gate7","general-gate4",13
"ranger-stop0","general-gate2",39
"ranger-stop0","ranger-stop2",21
"ranger-stop2","general-gate1",21
"ranger-stop2","ranger-stop0",39
