"source","target","value"
"camping0","camping0",3
"camping0","general-gate7",3
"camping1","camping1",1
"camping1","general-gate0",1
"camping2","camping2",1
"camping2","general-gate7",1
"camping3","camping3",7
"camping3","general-gate7",7
"camping4","camping4",2
"camping4","general-gate7",2
"camping5","camping5",1
"camping5","general-gate7",1
"camping6","camping6",10
"camping6","entrance2",1
"camping6","entrance4",2
"camping6","general-gate5",7
"camping7","camping7",2
"camping7","general-gate6",2
"camping8","camping8",5
"camping8","general-gate2",3
"camping8","general-gate5",2
"entrance0","entrance0",2
"entrance0","general-gate1",19
"entrance0","general-gate4",14
"general-gate0","camping1",1
"general-gate0","general-gate2",1
"general-gate1","entrance0",4
"general-gate1","entrance3",6
"general-gate1","general-gate4",3
"general-gate1","ranger-stop2",24
"general-gate2","camping8",5
"general-gate2","entrance2",1
"general-gate2","general-gate0",1
"general-gate2","general-gate5",17
"general-gate2","ranger-stop0",13
"general-gate4","entrance0",3
"general-gate4","general-gate1",5
"general-gate4","general-gate7",17
"general-gate5","camping6",10
"general-gate5","entrance4",7
"general-gate5","general-gate2",9
"general-gate5","general-gate6",2
"general-gate6","camping7",2
"general-gate6","general-gate5",2
"general-gate7","camping0",3
"general-gate7","camping2",1
"general-gate7","camping3",7
"general-gate7","camping4",2
"general-gate7","camping5",1
"general-gate7","entrance1",3
"general-gate7","entrance3",6
"general-gate7","general-gate4",8
"ranger-stop0","general-gate2",24
"ranger-stop0","ranger-stop2",13
"ranger-stop2","general-gate1",13
"ranger-stop2","ranger-stop0",24
