"source","target","value"
"camping0","camping0",8
"camping0","general-gate7",8
"camping1","camping1",1
"camping1","general-gate0",1
"camping2","camping2",17
"camping2","entrance1",3
"camping2","general-gate7",14
"camping3","camping3",15
"camping3","general-gate7",15
"camping4","camping4",17
"camping4","entrance1",2
"camping4","general-gate7",15
"camping5","camping5",21
"camping5","general-gate7",21
"camping6","camping6",5
"camping6","entrance4",1
"camping6","general-gate5",4
"camping7","camping7",6
"camping7","general-gate6",6
"camping8","camping8",17
"camping8","general-gate2",11
"camping8","general-gate3",3
"camping8","general-gate5",3
"entrance4","camping6",5
"entrance4","general-gate5",95
"entrance4","general-gate6",6
"general-gate0","general-gate2",1
"general-gate1","entrance0",4
"general-gate1","entrance3",11
"general-gate1","general-gate4",81
"general-gate1","ranger-stop2",30
"general-gate2","entrance2",14
"general-gate2","general-gate5",16
"general-gate2","ranger-stop0",96
"general-gate3","entrance2",3
"general-gate4","entrance0",9
"general-gate4","general-gate1",30
"general-gate4","general-gate7",81
"general-gate5","camping1",1
"general-gate5","camping8",17
"general-gate5","entrance4",19
"general-gate5","general-gate2",84
"general-gate6","camping7",6
"general-gate6","entrance2",3
"general-gate6","general-gate5",3
"general-gate7","camping0",8
"general-gate7","camping2",17
"general-gate7","camping3",15
"general-gate7","camping4",17
"general-gate7","camping5",21
"general-gate7","entrance1",3
"general-gate7","entrance3",34
"general-gate7","general-gate4",39
"ranger-stop0","general-gate2",30
"ranger-stop0","ranger-stop2",96
"ranger-stop2","general-gate1",96
"ranger-stop2","ranger-stop0",30
