"source","target","value"
"camping0","camping0",1
"camping0","general-gate7",1
"camping1","camping1",1
"camping1","general-gate0",1
"camping3","camping3",11
"camping3","entrance1",1
"camping3","general-gate7",10
"camping4","camping4",3
"camping4","entrance1",1
"camping4","general-gate7",2
"camping5","camping5",1
"camping5","general-gate7",1
"camping6","camping6",12
"camping6","entrance2",2
"camping6","entrance4",3
"camping6","general-gate5",7
"camping7","camping7",6
"camping7","general-gate6",6
"camping8","camping8",1
"camping8","general-gate2",1
"entrance4","camping6",12
"entrance4","general-gate5",18
"entrance4","general-gate6",6
"general-gate0","general-gate2",1
"general-gate1","entrance0",2
"general-gate1","entrance3",9
"general-gate1","general-gate4",19
"general-gate1","ranger-stop2",8
"general-gate2","entrance2",2
"general-gate2","general-gate5",6
"general-gate2","ranger-stop0",30
"general-gate4","entrance0",5
"general-gate4","general-gate1",8
"general-gate4","general-gate7",19
"general-gate5","camping1",1
"general-gate5","camping8",1
"general-gate5","entrance4",6
"general-gate5","general-gate2",28
"general-gate6","camping7",6
"general-gate6","entrance2",1
"general-gate6","general-gate5",5
"general-gate7","camping0",1
"general-gate7","camping3",11
"general-gate7","camping4",3
"general-gate7","camping5",1
"general-gate7","entrance1",3
"general-gate7","entrance3",1
"general-gate7","general-gate4",13
"ranger-stop0","general-gate2",8
"ranger-stop0","ranger-stop2",30
"ranger-stop2","general-gate1",30
"ranger-stop2","ranger-stop0",8
