"source","target","value"
"camping0","camping0",16
"camping0","entrance1",2
"camping0","general-gate7",14
"camping1","camping1",2
"camping1","general-gate0",2
"camping2","camping2",17
"camping2","entrance1",2
"camping2","general-gate7",15
"camping3","camping3",9
"camping3","general-gate7",9
"camping4","camping4",24
"camping4","entrance1",2
"camping4","general-gate7",22
"camping5","camping5",24
"camping5","general-gate7",24
"camping6","camping6",10
"camping6","entrance2",2
"camping6","entrance4",3
"camping6","general-gate5",5
"camping7","camping7",16
"camping7","general-gate6",16
"camping8","camping8",25
"camping8","general-gate2",16
"camping8","general-gate3",4
"camping8","general-gate5",5
"entrance2","camping1",2
"entrance2","camping6",10
"entrance2","general-gate2",88
"entrance2","general-gate3",25
"entrance2","general-gate6",16
"general-gate0","general-gate2",2
"general-gate1","entrance0",9
"general-gate1","entrance3",19
"general-gate1","general-gate4",92
"general-gate1","ranger-stop2",27
"general-gate2","entrance2",13
"general-gate2","general-gate5",14
"general-gate2","ranger-stop0",120
"general-gate3","camping8",25
"general-gate3","entrance2",4
"general-gate4","entrance0",21
"general-gate4","general-gate1",27
"general-gate4","general-gate7",92
"general-gate5","entrance4",19
"general-gate5","general-gate2",14
"general-gate6","camping7",16
"general-gate6","entrance2",3
"general-gate6","entrance4",4
"general-gate6","general-gate5",9
"general-gate7","camping0",16
"general-gate7","camping2",17
"general-gate7","camping3",9
"general-gate7","camping4",24
"general-gate7","camping5",24
"general-gate7","entrance1",7
"general-gate7","entrance3",31
"general-gate7","general-gate4",48
"ranger-stop0","general-gate2",27
"ranger-stop0","ranger-stop2",120
"ranger-stop2","general-gate1",120
"ranger-stop2","ranger-stop0",27
