"source","target","value"
"camping0","camping0",5
"camping0","general-gate7",5
"camping1","camping1",1
"camping1","general-gate0",1
"camping3","camping3",8
"camping3","entrance1",2
"camping3","general-gate7",6
"camping4","camping4",8
"camping4","entrance1",1
"camping4","general-gate7",7
"camping5","camping5",4
"camping5","general-gate7",4
"camping6","camping6",15
"camping6","entrance4",3
"camping6","general-gate5",12
"camping7","camping7",4
"camping7","general-gate6",4
"camping8","camping8",6
"camping8","general-gate2",5
"camping8","general-gate3",1
"entrance1","camping0",5
"entrance1","camping3",8
"entrance1","camping4",8
"entrance1","general-gate7",30
"entrance1","ranger-stop1",4
"general-gate0","camping1",1
"general-gate0","general-gate2",1
"general-gate1","entrance0",5
"general-gate1","entrance3",9
"general-gate1","general-gate4",5
"general-gate1","ranger-stop2",37
"general-gate2","camping8",6
"general-gate2","entrance2",9
"general-gate2","general-gate0",1
"general-gate2","general-gate5",21
"general-gate2","ranger-stop0",19
"general-gate3","entrance2",1
"general-gate4","entrance0",1
"general-gate4","general-gate1",37
"general-gate4","general-gate7",5
"general-gate5","camping6",15
"general-gate5","entrance4",2
"general-gate5","general-gate2",13
"general-gate5","general-gate6",4
"general-gate6","camping7",4
"general-gate6","entrance2",3
"general-gate6","general-gate5",1
"general-gate7","camping5",4
"general-gate7","entrance1",5
"general-gate7","entrance3",10
"general-gate7","general-gate4",38
"ranger-stop0","general-gate2",37
"ranger-stop0","ranger-stop2",19
"ranger-stop1","entrance1",4
"ranger-stop1","ranger-stop1",4
"ranger-stop2","general-gate1",19
"ranger-stop2","ranger-stop0",37
