"source","target","value"
"camping0","camping0",28
"camping0","entrance1",1
"camping0","general-gate7",27
"camping1","camping1",15
"camping1","general-gate0",13
"camping1","general-gate5",2
"camping2","camping2",25
"camping2","general-gate7",25
"camping3","camping3",71
"camping3","entrance1",3
"camping3","general-gate7",68
"camping4","camping4",19
"camping4","general-gate7",19
"camping5","camping5",24
"camping5","general-gate7",24
"camping6","camping6",122
"camping6","entrance2",28
"camping6","entrance4",4
"camping6","general-gate5",90
"camping7","camping7",82
"camping7","general-gate6",82
"camping8","camping8",54
"camping8","general-gate2",40
"camping8","general-gate3",4
"camping8","general-gate5",10
"entrance3","general-gate1",273
"entrance3","general-gate7",167
"general-gate0","camping1",15
"general-gate0","general-gate2",13
"general-gate1","entrance0",48
"general-gate1","entrance3",105
"general-gate1","general-gate4",40
"general-gate1","ranger-stop2",373
"general-gate2","camping8",54
"general-gate2","entrance2",50
"general-gate2","general-gate0",15
"general-gate2","general-gate5",254
"general-gate2","ranger-stop0",193
"general-gate3","entrance2",4
"general-gate4","entrance0",30
"general-gate4","general-gate1",100
"general-gate4","general-gate7",40
"general-gate5","camping6",122
"general-gate5","entrance4",62
"general-gate5","general-gate2",140
"general-gate5","general-gate6",82
"general-gate6","camping7",82
"general-gate6","entrance2",16
"general-gate6","entrance4",16
"general-gate6","general-gate5",50
"general-gate7","camping0",28
"general-gate7","camping2",25
"general-gate7","camping3",71
"general-gate7","camping4",19
"general-gate7","camping5",24
"general-gate7","entrance1",40
"general-gate7","entrance3",33
"general-gate7","general-gate4",130
"ranger-stop0","general-gate2",373
"ranger-stop0","ranger-stop2",193
"ranger-stop2","general-gate1",193
"ranger-stop2","ranger-stop0",373
