"source","target","value"
"camping0","camping0",10
"camping0","entrance1",2
"camping0","general-gate7",8
"camping1","camping1",1
"camping1","general-gate0",1
"camping2","camping2",16
"camping2","entrance1",1
"camping2","general-gate7",15
"camping3","camping3",9
"camping3","entrance1",1
"camping3","general-gate7",8
"camping4","camping4",22
"camping4","entrance1",2
"camping4","general-gate7",20
"camping5","camping5",36
"camping5","general-gate7",36
"camping6","camping6",10
"camping6","entrance2",2
"camping6","entrance4",2
"camping6","general-gate5",6
"camping7","camping7",5
"camping7","general-gate6",5
"camping8","camping8",12
"camping8","general-gate2",9
"camping8","general-gate5",3
"entrance3","entrance3",2
"entrance3","general-gate1",29
"entrance3","general-gate7",92
"general-gate0","camping1",1
"general-gate0","general-gate2",1
"general-gate1","entrance0",5
"general-gate1","entrance3",12
"general-gate1","general-gate4",2
"general-gate1","ranger-stop2",72
"general-gate2","camping8",12
"general-gate2","entrance2",22
"general-gate2","general-gate0",1
"general-gate2","general-gate5",37
"general-gate2","ranger-stop0",19
"general-gate4","entrance0",15
"general-gate4","general-gate1",43
"general-gate4","general-gate7",2
"general-gate5","camping6",10
"general-gate5","entrance4",25
"general-gate5","general-gate2",9
"general-gate5","general-gate6",5
"general-gate6","camping7",5
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",3
"general-gate7","camping0",10
"general-gate7","camping2",16
"general-gate7","camping3",9
"general-gate7","camping4",22
"general-gate7","camping5",36
"general-gate7","entrance1",6
"general-gate7","entrance3",24
"general-gate7","general-gate4",58
"ranger-stop0","general-gate2",72
"ranger-stop0","ranger-stop2",19
"ranger-stop2","general-gate1",19
"ranger-stop2","ranger-stop0",72
