"source","target","color","label","value"
"camping1","camping1",1,"0.1083 mins",10
"camping1","entrance2",1,"16.94 mins",4
"camping1","general-gate0",1,"6.987 mins",5
"camping1","general-gate5",1,"9.067 mins",1
"camping6","camping6",1,"[ 0.05,19.06) mins",98
"camping6","camping6",2,"[19.06,38.07] mins",1
"camping6","entrance2",1,"19.95 mins",23
"camping6","entrance4",1,"2.305 mins",23
"camping6","general-gate5",1,"10.04 mins",53
"camping7","camping7",1,"0.1079 mins",38
"camping7","general-gate6",1,"8.677 mins",38
"camping8","camping8",1,"0.3139 mins",24
"camping8","general-gate2",1,"18.88 mins",10
"camping8","general-gate3",1,"1.012 mins",10
"camping8","general-gate5",1,"12.89 mins",4
"entrance4","camping6",1,"2.345 mins",100
"entrance4","entrance2",1,"19.59 mins",415
"entrance4","general-gate5",1,"9.963 mins",950
"entrance4","general-gate6",1,"6.535 mins",42
"general-gate0","general-gate2",1,"3.597 mins",5
"general-gate1","entrance0",1,"1.564 mins",411
"general-gate1","entrance3",1,"20.9 mins",419
"general-gate1","general-gate4",1,"10.35 mins",168
"general-gate2","ranger-stop0",1,"3.204 mins",998
"general-gate3","entrance2",1,"6.078 mins",10
"general-gate4","general-gate7",1,"6.523 mins",168
"general-gate5","camping1",1,"8.27 mins",10
"general-gate5","camping8",1,"12.9 mins",24
"general-gate5","entrance2",1,"10.73 mins",2
"general-gate5","entrance4",1,"10.22 mins",5
"general-gate5","general-gate2",1,"11.52 mins",983
"general-gate5","general-gate5",1,"0.01667 mins",2
"general-gate6","camping7",1,"8.768 mins",40
"general-gate6","entrance2",1,"13.68 mins",10
"general-gate6","entrance4",1,"6.546 mins",14
"general-gate6","general-gate5",1,"4.034 mins",16
"general-gate6","general-gate6",1,"0.01667 mins",2
"general-gate7","camping2",1,"16 mins",1
"general-gate7","camping5",1,"9.767 mins",1
"general-gate7","entrance1",1,"12.07 mins",166
"ranger-stop0","ranger-stop2",1,"3.034 mins",998
"ranger-stop2","general-gate1",1,"2.612 mins",998
