"source","target","color","label","value"
"camping0","camping0",1,"0.09107 horas",28
"camping0","entrance1",1,"14.68 mins",1
"camping0","general-gate7",1,"18.71 mins",27
"camping1","camping1",1,"0.08667 mins",15
"camping1","general-gate0",1,"7.135 mins",13
"camping1","general-gate5",1,"8.992 mins",2
"camping2","camping2",1,"0.4907 mins",25
"camping2","general-gate7",1,"18.38 mins",25
"camping3","camping3",1,"0.2051 horas",71
"camping3","entrance1",1,"11.5 mins",3
"camping3","general-gate7",1,"14.19 mins",68
"camping4","camping4",1,"0.1649 horas",19
"camping4","general-gate7",1,"9.931 mins",19
"camping5","camping5",1,"[ 0.05,12.23) mins",23
"camping5","camping5",2,"[12.23,24.42] mins",1
"camping5","general-gate7",1,"9.897 mins",24
"camping6","camping6",1,"0.05998 horas",122
"camping6","entrance2",1,"20.07 mins",28
"camping6","entrance4",1,"2.479 mins",4
"camping6","general-gate5",1,"10.46 mins",90
"camping7","camping7",1,"0.04791 horas",82
"camping7","general-gate6",1,"8.657 mins",82
"camping8","camping8",1,"0.1005 horas",54
"camping8","general-gate2",1,"20.36 mins",40
"camping8","general-gate3",1,"1.042 mins",4
"camping8","general-gate5",1,"12.78 mins",10
"entrance3","general-gate1",1,"21.03 mins",273
"entrance3","general-gate7",1,"15.23 mins",167
"general-gate0","camping1",1,"7.339 mins",15
"general-gate0","general-gate2",1,"3.664 mins",13
"general-gate1","entrance0",1,"1.607 mins",48
"general-gate1","entrance3",1,"21.02 mins",105
"general-gate1","general-gate4",1,"11.33 mins",40
"general-gate1","ranger-stop2",1,"2.669 mins",373
"general-gate2","camping8",1,"20.34 mins",54
"general-gate2","entrance2",1,"20.23 mins",50
"general-gate2","general-gate0",1,"3.733 mins",15
"general-gate2","general-gate5",1,"11.79 mins",254
"general-gate2","ranger-stop0",1,"3.288 mins",193
"general-gate3","entrance2",1,"6.267 mins",4
"general-gate4","entrance0",1,"13.13 mins",30
"general-gate4","general-gate1",1,"11.28 mins",100
"general-gate4","general-gate7",1,"7.139 mins",40
"general-gate5","camping6",1,"10.58 mins",122
"general-gate5","entrance4",1,"10.09 mins",62
"general-gate5","general-gate2",1,"11.82 mins",140
"general-gate5","general-gate6",1,"4.271 mins",82
"general-gate6","camping7",1,"8.747 mins",82
"general-gate6","entrance2",1,"13.62 mins",16
"general-gate6","entrance4",1,"6.675 mins",16
"general-gate6","general-gate5",1,"4.276 mins",50
"general-gate7","camping0",1,"18.74 mins",28
"general-gate7","camping2",1,"18.47 mins",25
"general-gate7","camping3",1,"14.29 mins",71
"general-gate7","camping4",1,"10.02 mins",19
"general-gate7","camping5",1,"9.942 mins",24
"general-gate7","entrance1",1,"13.22 mins",40
"general-gate7","entrance3",1,"16.09 mins",33
"general-gate7","general-gate4",1,"7.151 mins",130
"ranger-stop0","general-gate2",1,"3.272 mins",373
"ranger-stop0","ranger-stop2",1,"3.112 mins",193
"ranger-stop2","general-gate1",1,"2.679 mins",193
"ranger-stop2","ranger-stop0",1,"3.106 mins",373
