"source","target","value"
"camping0","camping0",6
"camping0","entrance1",3
"camping0","general-gate7",3
"camping1","camping1",3
"camping1","entrance2",1
"camping1","general-gate5",2
"camping2","camping2",6
"camping2","entrance1",2
"camping2","general-gate7",4
"camping3","camping3",40
"camping3","entrance1",6
"camping3","general-gate7",34
"camping4","camping4",20
"camping4","entrance1",3
"camping4","general-gate7",17
"camping5","camping5",21
"camping5","general-gate7",21
"camping6","camping6",16
"camping6","entrance4",16
"camping8","camping8",1
"camping8","general-gate3",1
"entrance3","entrance0",386
"entrance3","gate6",23
"entrance3","general-gate1",823
"entrance3","general-gate4",1
"entrance3","general-gate7",475
"gate3","general-gate5",23
"gate3","ranger-stop3",23
"gate5","general-gate5",23
"gate5","ranger-stop6",23
"gate6","entrance3",23
"gate6","ranger-stop6",23
"general-gate0","camping1",3
"general-gate1","ranger-stop2",823
"general-gate2","camping8",1
"general-gate2","entrance2",417
"general-gate2","general-gate0",3
"general-gate2","general-gate5",402
"general-gate3","entrance2",1
"general-gate4","entrance0",18
"general-gate4","entrance3",1
"general-gate4","general-gate4",1
"general-gate5","camping6",18
"general-gate5","entrance4",386
"general-gate5","gate3",23
"general-gate5","gate5",23
"general-gate7","camping0",6
"general-gate7","camping2",8
"general-gate7","camping3",41
"general-gate7","camping4",20
"general-gate7","camping5",22
"general-gate7","entrance1",380
"general-gate7","entrance3",59
"general-gate7","general-gate4",18
"ranger-stop0","general-gate2",823
"ranger-stop2","ranger-stop0",823
"ranger-stop3","gate3",23
"ranger-stop3","ranger-stop3",23
"ranger-stop6","gate5",23
"ranger-stop6","gate6",23
