"source","target","value"
"camping0","camping0",15
"camping0","general-gate7",15
"camping1","camping1",20
"camping1","entrance2",2
"camping1","general-gate0",11
"camping1","general-gate5",7
"camping2","camping2",14
"camping2","general-gate7",14
"camping3","camping3",47
"camping3","general-gate7",47
"camping4","camping4",15
"camping4","general-gate7",15
"camping5","camping5",18
"camping5","general-gate7",18
"camping6","camping6",123
"camping6","entrance2",27
"camping6","entrance4",17
"camping6","general-gate5",79
"camping7","camping7",72
"camping7","general-gate6",72
"camping8","camping8",57
"camping8","general-gate2",39
"camping8","general-gate3",8
"camping8","general-gate5",10
"entrance1","camping0",15
"entrance1","camping2",14
"entrance1","camping3",47
"entrance1","camping4",15
"entrance1","general-gate7",788
"entrance1","ranger-stop1",1
"general-gate0","camping1",20
"general-gate0","general-gate2",11
"general-gate1","entrance0",46
"general-gate1","entrance3",88
"general-gate1","general-gate4",31
"general-gate1","ranger-stop2",865
"general-gate2","camping8",57
"general-gate2","entrance2",286
"general-gate2","general-gate0",20
"general-gate2","general-gate5",502
"general-gate2","ranger-stop0",165
"general-gate3","entrance2",8
"general-gate4","entrance0",4
"general-gate4","general-gate1",865
"general-gate4","general-gate7",31
"general-gate5","camping6",125
"general-gate5","entrance4",322
"general-gate5","general-gate2",115
"general-gate5","general-gate6",72
"general-gate6","camping7",72
"general-gate6","entrance2",22
"general-gate6","entrance4",14
"general-gate6","general-gate5",36
"general-gate7","camping5",18
"general-gate7","entrance1",31
"general-gate7","entrance3",10
"general-gate7","general-gate4",869
"ranger-stop0","general-gate2",865
"ranger-stop0","ranger-stop2",165
"ranger-stop1","entrance1",1
"ranger-stop1","ranger-stop1",1
"ranger-stop2","general-gate1",165
"ranger-stop2","ranger-stop0",865
