"source","target","color","label","value"
"camping0","camping0",1,"0.1 mins",6
"camping0","entrance1",1,"18.13 mins",3
"camping0","general-gate7",1,"16.28 mins",3
"camping1","camping1",1,"0.1333 mins",3
"camping1","entrance2",1,"17.23 mins",1
"camping1","general-gate5",1,"8.142 mins",2
"camping2","camping2",1,"0.1028 mins",6
"camping2","entrance1",1,"5.483 mins",2
"camping2","general-gate7",1,"16.11 mins",4
"camping3","camping3",1,"0.1492 mins",40
"camping3","entrance1",1,"11.47 mins",6
"camping3","general-gate7",1,"12.9 mins",34
"camping4","camping4",1,"0.535 mins",20
"camping4","entrance1",1,"6.906 mins",3
"camping4","general-gate7",1,"9.725 mins",17
"camping5","camping5",1,"0.1 mins",21
"camping5","general-gate7",1,"10.24 mins",21
"camping6","camping6",1,"0.1906 mins",16
"camping6","entrance4",1,"2.309 mins",16
"camping8","camping8",1,"0.1 mins",1
"camping8","general-gate3",1,"0.9167 mins",1
"entrance3","entrance0",1,"22.35 mins",386
"entrance3","gate6",1,"1.966 mins",23
"entrance3","general-gate1",1,"20.85 mins",823
"entrance3","general-gate4",1,"12.02 mins",1
"entrance3","general-gate7",1,"14.95 mins",475
"gate3","general-gate5",1,"8.42 mins",23
"gate3","ranger-stop3",1,"1.875 mins",23
"gate5","general-gate5",1,"5.128 mins",23
"gate5","ranger-stop6",1,"1.029 mins",23
"gate6","entrance3",1,"2.023 mins",23
"gate6","ranger-stop6",1,"1.116 mins",23
"general-gate0","camping1",1,"7.406 mins",3
"general-gate1","ranger-stop2",1,"2.658 mins",823
"general-gate2","camping8",1,"18.72 mins",1
"general-gate2","entrance2",1,"20.34 mins",417
"general-gate2","general-gate0",1,"3.767 mins",3
"general-gate2","general-gate5",1,"11.69 mins",402
"general-gate3","entrance2",1,"5.6 mins",1
"general-gate4","entrance0",1,"12.02 mins",18
"general-gate4","entrance3",1,"12.02 mins",1
"general-gate4","general-gate4",1,"4.15 mins",1
"general-gate5","camping6",1,"10.29 mins",18
"general-gate5","entrance4",1,"10.17 mins",386
"general-gate5","gate3",1,"8.423 mins",23
"general-gate5","gate5",1,"5.129 mins",23
"general-gate7","camping0",1,"[16.2,18.8) mins",3
"general-gate7","camping0",2,"[18.8,21.4] mins",3
"general-gate7","camping2",1,"17.27 mins",8
"general-gate7","camping3",1,"13.18 mins",41
"general-gate7","camping4",1,"9.772 mins",20
"general-gate7","camping5",1,"10.29 mins",22
"general-gate7","entrance1",1,"13.25 mins",380
"general-gate7","entrance3",1,"14.59 mins",59
"general-gate7","general-gate4",1,"6.723 mins",18
"ranger-stop0","general-gate2",1,"3.257 mins",823
"ranger-stop2","ranger-stop0",1,"3.091 mins",823
"ranger-stop3","gate3",1,"1.788 mins",23
"ranger-stop3","ranger-stop3",1,"12.62 mins",23
"ranger-stop6","gate5",1,"1.006 mins",23
"ranger-stop6","gate6",1,"1.092 mins",23
