"source","target","color","label","value"
"camping0","camping0",1,"[13.8,18.6) horas",4
"camping0","camping0",2,"[18.6,23.4] horas",5
"camping0","entrance1",1,"15.81 mins",3
"camping0","general-gate7",1,"18.32 mins",6
"camping2","camping2",1,"[12.6,17.9) horas",4
"camping2","camping2",2,"[17.9,23.3] horas",10
"camping2","general-gate7",1,"18.54 mins",14
"camping3","camping3",1,"[14.6,19.0) horas",6
"camping3","camping3",2,"[19.0,23.3] horas",3
"camping3","entrance1",1,"10.68 mins",1
"camping3","general-gate7",1,"13.89 mins",8
"camping4","camping4",1,"[14.4,18.8) horas",5
"camping4","camping4",2,"[18.8,23.3] horas",15
"camping4","entrance1",1,"7.333 mins",1
"camping4","general-gate7",1,"9.635 mins",19
"camping5","camping5",1,"[13.8,18.4) horas",7
"camping5","camping5",2,"[18.4,23.0] horas",15
"camping5","general-gate7",1,"10.01 mins",22
"camping6","camping6",1,"20.07 horas",7
"camping6","entrance2",1,"20.62 mins",5
"camping6","entrance4",1,"2.283 mins",1
"camping6","general-gate5",1,"11.13 mins",1
"camping7","camping7",1,"[13.6,17.5) horas",5
"camping7","camping7",2,"[17.5,21.5] horas",7
"camping7","general-gate6",1,"8.561 mins",12
"camping8","camping8",1,"[12.7,17.3) horas",5
"camping8","camping8",2,"[17.3,21.9] horas",15
"camping8","general-gate2",1,"20.22 mins",11
"camping8","general-gate3",1,"1.05 mins",3
"camping8","general-gate5",1,"13.29 mins",6
"entrance1","camping0",1,"15.78 mins",9
"entrance1","camping2",1,"6.01 mins",14
"entrance1","camping3",1,"11.23 mins",9
"entrance1","camping4",1,"7.127 mins",20
"entrance1","general-gate7",1,"13.22 mins",61
"general-gate1","entrance0",1,"1.55 mins",5
"general-gate1","entrance3",1,"21.04 mins",12
"general-gate1","general-gate4",1,"11.71 mins",3
"general-gate1","ranger-stop2",1,"2.66 mins",66
"general-gate2","camping8",1,"20.43 mins",20
"general-gate2","entrance2",1,"19.99 mins",13
"general-gate2","general-gate5",1,"11.71 mins",33
"general-gate2","ranger-stop0",1,"3.272 mins",20
"general-gate3","entrance2",1,"6.25 mins",3
"general-gate4","entrance0",1,"13.28 mins",15
"general-gate4","general-gate1",1,"11.36 mins",66
"general-gate4","general-gate7",1,"7.372 mins",3
"general-gate5","camping6",1,"10.8 mins",7
"general-gate5","entrance4",1,"10.11 mins",20
"general-gate5","general-gate2",1,"11.72 mins",9
"general-gate5","general-gate6",1,"4.221 mins",12
"general-gate6","camping7",1,"8.642 mins",12
"general-gate6","entrance2",1,"13.36 mins",3
"general-gate6","entrance4",1,"7.383 mins",1
"general-gate6","general-gate5",1,"4.19 mins",8
"general-gate7","camping5",1,"10.07 mins",22
"general-gate7","entrance1",1,"13.13 mins",6
"general-gate7","entrance3",1,"14.84 mins",24
"general-gate7","general-gate4",1,"7.198 mins",81
"ranger-stop0","general-gate2",1,"3.26 mins",66
"ranger-stop0","ranger-stop2",1,"3.098 mins",20
"ranger-stop2","general-gate1",1,"2.671 mins",20
"ranger-stop2","ranger-stop0",1,"3.091 mins",66
