"source","target","color","label","value"
"camping0","camping0",1,"0.1 mins",3
"camping0","entrance1",1,"14.22 mins",3
"camping1","camping1",1,"0.07778 mins",15
"camping1","entrance2",1,"16.96 mins",4
"camping1","general-gate0",1,"7.323 mins",5
"camping1","general-gate5",1,"8.225 mins",6
"camping2","camping2",1,"0.1278 mins",3
"camping2","entrance1",1,"6.067 mins",3
"camping3","camping3",1,"0.09931 mins",24
"camping3","entrance1",1,"11.03 mins",17
"camping3","general-gate7",1,"12.66 mins",7
"camping4","camping4",1,"0.09167 mins",16
"camping4","entrance1",1,"7.171 mins",4
"camping4","general-gate7",1,"9.575 mins",12
"camping5","camping5",1,"0.1179 mins",14
"camping5","general-gate7",1,"9.592 mins",14
"camping6","camping6",1,"0.2644 mins",59
"camping6","entrance2",1,"19.43 mins",26
"camping6","entrance4",1,"2.396 mins",31
"camping6","general-gate5",1,"9.092 mins",2
"camping7","camping7",1,"0.1151 mins",31
"camping7","general-gate6",1,"8.298 mins",31
"camping8","camping8",1,"0.1177 mins",16
"camping8","general-gate2",1,"17.82 mins",1
"camping8","general-gate3",1,"1.037 mins",10
"camping8","general-gate5",1,"12.49 mins",5
"entrance0","entrance3",1,"22.23 mins",363
"entrance0","general-gate1",1,"1.508 mins",890
"entrance0","general-gate4",1,"12.64 mins",514
"general-gate0","camping1",1,"7.416 mins",15
"general-gate0","general-gate2",1,"3.763 mins",5
"general-gate1","entrance0",1,"1.5 mins",7
"general-gate1","entrance3",1,"19.31 mins",2
"general-gate1","general-gate1",1,"3.583 mins",1
"general-gate1","ranger-stop2",1,"2.661 mins",889
"general-gate2","camping8",1,"20.29 mins",17
"general-gate2","entrance2",1,"20.25 mins",388
"general-gate2","general-gate0",1,"3.769 mins",15
"general-gate2","general-gate5",1,"11.67 mins",469
"general-gate2","ranger-stop0",1,"3.119 mins",8
"general-gate3","entrance2",1,"6.227 mins",10
"general-gate4","entrance0",1,"11.69 mins",7
"general-gate4","general-gate7",1,"7.103 mins",514
"general-gate5","camping6",1,"10.4 mins",60
"general-gate5","entrance4",1,"10.17 mins",389
"general-gate5","general-gate2",1,"10.24 mins",2
"general-gate5","general-gate6",1,"4.097 mins",31
"general-gate6","camping7",1,"8.383 mins",31
"general-gate6","entrance2",1,"12.95 mins",14
"general-gate6","entrance4",1,"6.446 mins",17
"general-gate7","camping0",1,"16.67 mins",3
"general-gate7","camping2",1,"18.96 mins",3
"general-gate7","camping3",1,"13.44 mins",24
"general-gate7","camping4",1,"9.675 mins",18
"general-gate7","camping5",1,"9.63 mins",14
"general-gate7","entrance1",1,"13.2 mins",453
"general-gate7","entrance3",1,"14.48 mins",25
"general-gate7","general-gate4",1,"6.519 mins",7
"ranger-stop0","general-gate2",1,"3.247 mins",889
"ranger-stop0","ranger-stop2",1,"2.954 mins",8
"ranger-stop2","general-gate1",1,"2.535 mins",8
"ranger-stop2","ranger-stop0",1,"3.082 mins",889
