"source","target","value"
"camping0","camping0",15
"camping0","entrance1",2
"camping0","general-gate7",13
"camping2","camping2",13
"camping2","entrance1",4
"camping2","general-gate7",9
"camping3","camping3",6
"camping3","entrance1",2
"camping3","general-gate7",4
"camping4","camping4",22
"camping4","entrance1",5
"camping4","general-gate7",17
"camping5","camping5",14
"camping5","general-gate7",14
"camping6","camping6",6
"camping6","entrance2",2
"camping6","entrance4",1
"camping6","general-gate5",3
"camping7","camping7",13
"camping7","general-gate6",13
"camping8","camping8",24
"camping8","general-gate2",17
"camping8","general-gate3",4
"camping8","general-gate5",3
"entrance0","general-gate1",43
"entrance0","general-gate4",70
"general-gate1","entrance0",10
"general-gate1","entrance3",10
"general-gate1","general-gate4",8
"general-gate1","ranger-stop2",68
"general-gate2","camping8",24
"general-gate2","entrance2",11
"general-gate2","general-gate5",33
"general-gate2","ranger-stop0",28
"general-gate3","entrance2",4
"general-gate4","entrance0",8
"general-gate4","general-gate1",25
"general-gate4","general-gate7",78
"general-gate5","camping6",6
"general-gate5","entrance4",17
"general-gate5","general-gate2",11
"general-gate5","general-gate6",13
"general-gate6","camping7",13
"general-gate6","entrance2",3
"general-gate6","entrance4",2
"general-gate6","general-gate5",8
"general-gate7","camping0",15
"general-gate7","camping2",13
"general-gate7","camping3",6
"general-gate7","camping4",22
"general-gate7","camping5",14
"general-gate7","entrance1",10
"general-gate7","entrance3",22
"general-gate7","general-gate4",33
"ranger-stop0","general-gate2",68
"ranger-stop0","ranger-stop2",28
"ranger-stop2","general-gate1",28
"ranger-stop2","ranger-stop0",68
