"source","target","value"
"camping0","camping0",9
"camping0","entrance1",3
"camping0","general-gate7",6
"camping2","camping2",14
"camping2","general-gate7",14
"camping3","camping3",9
"camping3","entrance1",1
"camping3","general-gate7",8
"camping4","camping4",20
"camping4","entrance1",1
"camping4","general-gate7",19
"camping5","camping5",22
"camping5","general-gate7",22
"camping6","camping6",7
"camping6","entrance2",5
"camping6","entrance4",1
"camping6","general-gate5",1
"camping7","camping7",12
"camping7","general-gate6",12
"camping8","camping8",20
"camping8","general-gate2",11
"camping8","general-gate3",3
"camping8","general-gate5",6
"entrance1","camping0",9
"entrance1","camping2",14
"entrance1","camping3",9
"entrance1","camping4",20
"entrance1","general-gate7",61
"general-gate1","entrance0",5
"general-gate1","entrance3",12
"general-gate1","general-gate4",3
"general-gate1","ranger-stop2",66
"general-gate2","camping8",20
"general-gate2","entrance2",13
"general-gate2","general-gate5",33
"general-gate2","ranger-stop0",20
"general-gate3","entrance2",3
"general-gate4","entrance0",15
"general-gate4","general-gate1",66
"general-gate4","general-gate7",3
"general-gate5","camping6",7
"general-gate5","entrance4",20
"general-gate5","general-gate2",9
"general-gate5","general-gate6",12
"general-gate6","camping7",12
"general-gate6","entrance2",3
"general-gate6","entrance4",1
"general-gate6","general-gate5",8
"general-gate7","camping5",22
"general-gate7","entrance1",6
"general-gate7","entrance3",24
"general-gate7","general-gate4",81
"ranger-stop0","general-gate2",66
"ranger-stop0","ranger-stop2",20
"ranger-stop2","general-gate1",20
"ranger-stop2","ranger-stop0",66
