"source","target","color","label","value"
"camping0","camping0",1,"6.566 horas",5
"camping0","general-gate7",1,"17.46 mins",5
"camping1","camping1",1,"8.801 horas",1
"camping1","general-gate5",1,"7.25 mins",1
"camping2","camping2",1,"7.706 horas",1
"camping2","general-gate7",1,"17.75 mins",1
"camping3","camping3",1,"8.053 horas",4
"camping3","general-gate7",1,"13.82 mins",4
"camping4","camping4",1,"8.298 horas",3
"camping4","entrance1",1,"6.483 mins",1
"camping4","general-gate7",1,"10.3 mins",2
"camping5","camping5",1,"6.314 horas",2
"camping5","general-gate7",1,"9.9 mins",2
"camping6","camping6",1,"[4.60,7.29) horas",7
"camping6","camping6",2,"[7.29,9.99] horas",5
"camping6","entrance2",1,"20.67 mins",3
"camping6","entrance4",1,"2.258 mins",4
"camping6","general-gate5",1,"10.05 mins",5
"camping7","camping7",1,"7.858 horas",4
"camping7","general-gate6",1,"8.133 mins",4
"camping8","camping8",1,"5.149 horas",3
"camping8","general-gate2",1,"22.09 mins",2
"camping8","general-gate5",1,"14.4 mins",1
"entrance3","entrance0",1,"22.82 mins",1
"entrance3","entrance3",1,"5.77 horas",2
"entrance3","general-gate1",1,"20.6 mins",20
"entrance3","general-gate7",1,"14.67 mins",15
"general-gate0","camping1",1,"6.5 mins",1
"general-gate1","entrance0",1,"1.475 mins",2
"general-gate1","entrance3",1,"[18.7,21.4) mins",3
"general-gate1","entrance3",2,"[21.4,24.1] mins",3
"general-gate1","general-gate4",1,"11.2 mins",1
"general-gate1","ranger-stop2",1,"2.623 mins",29
"general-gate2","camping8",1,"22.17 mins",3
"general-gate2","entrance2",1,"19.46 mins",4
"general-gate2","general-gate0",1,"3.3 mins",1
"general-gate2","general-gate5",1,"11.5 mins",21
"general-gate2","ranger-stop0",1,"3.233 mins",9
"general-gate4","entrance0",1,"12.83 mins",1
"general-gate4","general-gate1",1,"11.18 mins",9
"general-gate4","general-gate7",1,"7.067 mins",1
"general-gate5","camping6",1,"10.28 mins",12
"general-gate5","entrance4",1,"10.19 mins",7
"general-gate5","general-gate2",1,"11.24 mins",7
"general-gate5","general-gate6",1,"4.021 mins",4
"general-gate6","camping7",1,"8.213 mins",4
"general-gate6","entrance2",1,"12.22 mins",1
"general-gate6","entrance4",1,"6.683 mins",1
"general-gate6","general-gate5",1,"3.983 mins",2
"general-gate7","camping0",1,"17.54 mins",5
"general-gate7","camping2",1,"17.82 mins",1
"general-gate7","camping3",1,"13.93 mins",4
"general-gate7","camping4",1,"9.911 mins",3
"general-gate7","camping5",1,"9.933 mins",2
"general-gate7","entrance1",1,"13.05 mins",1
"general-gate7","entrance3",1,"14.71 mins",4
"general-gate7","general-gate4",1,"7.04 mins",10
"ranger-stop0","general-gate2",1,"3.214 mins",29
"ranger-stop0","ranger-stop2",1,"3.057 mins",9
"ranger-stop2","general-gate1",1,"2.639 mins",9
"ranger-stop2","ranger-stop0",1,"3.049 mins",29
