"source","target","color","label","value"
"camping0","camping0",1,"[15.0,18.8) horas",6
"camping0","camping0",2,"[18.8,22.6] horas",4
"camping0","entrance1",1,"15.08 mins",2
"camping0","general-gate7",1,"18.45 mins",8
"camping1","camping1",1,"18.03 mins",1
"camping1","general-gate0",1,"6.733 mins",1
"camping2","camping2",1,"[13.7,18.3) horas",5
"camping2","camping2",2,"[18.3,22.8] horas",11
"camping2","entrance1",1,"5.5 mins",1
"camping2","general-gate7",1,"17.77 mins",15
"camping3","camping3",1,"[15.4,19.2) horas",4
"camping3","camping3",2,"[19.2,23.1] horas",5
"camping3","entrance1",1,"10.57 mins",1
"camping3","general-gate7",1,"13.46 mins",8
"camping4","camping4",1,"[13.2,17.7) horas",5
"camping4","camping4",2,"[17.7,22.3] horas",17
"camping4","entrance1",1,"7.317 mins",2
"camping4","general-gate7",1,"9.839 mins",20
"camping5","camping5",1,"[13.7,18.1) horas",15
"camping5","camping5",2,"[18.1,22.6] horas",21
"camping5","general-gate7",1,"9.973 mins",36
"camping6","camping6",1,"[13.0,17.5) horas",6
"camping6","camping6",2,"[17.5,22.0] horas",4
"camping6","entrance2",1,"17.69 mins",2
"camping6","entrance4",1,"2.317 mins",2
"camping6","general-gate5",1,"10.06 mins",6
"camping7","camping7",1,"20.13 horas",5
"camping7","general-gate6",1,"8.347 mins",5
"camping8","camping8",1,"20.15 horas",12
"camping8","general-gate2",1,"20.28 mins",9
"camping8","general-gate5",1,"13.29 mins",3
"entrance3","entrance3",1,"6.294 horas",2
"entrance3","general-gate1",1,"20.47 mins",29
"entrance3","general-gate7",1,"14.82 mins",92
"general-gate0","camping1",1,"6.8 mins",1
"general-gate0","general-gate2",1,"3.433 mins",1
"general-gate1","entrance0",1,"1.6 mins",5
"general-gate1","entrance3",1,"20.2 mins",12
"general-gate1","general-gate4",1,"10.94 mins",2
"general-gate1","ranger-stop2",1,"2.602 mins",72
"general-gate2","camping8",1,"20.38 mins",12
"general-gate2","entrance2",1,"20.19 mins",22
"general-gate2","general-gate0",1,"3.45 mins",1
"general-gate2","general-gate5",1,"11.25 mins",37
"general-gate2","ranger-stop0",1,"3.192 mins",19
"general-gate4","entrance0",1,"13.03 mins",15
"general-gate4","general-gate1",1,"11.1 mins",43
"general-gate4","general-gate7",1,"6.867 mins",2
"general-gate5","camping6",1,"10 mins",10
"general-gate5","entrance4",1,"9.841 mins",25
"general-gate5","general-gate2",1,"11.2 mins",9
"general-gate5","general-gate6",1,"4.127 mins",5
"general-gate6","camping7",1,"8.433 mins",5
"general-gate6","entrance2",1,"13.73 mins",1
"general-gate6","entrance4",1,"7 mins",1
"general-gate6","general-gate5",1,"3.939 mins",3
"general-gate7","camping0",1,"18.37 mins",10
"general-gate7","camping2",1,"17.8 mins",16
"general-gate7","camping3",1,"13.51 mins",9
"general-gate7","camping4",1,"9.942 mins",22
"general-gate7","camping5",1,"10.01 mins",36
"general-gate7","entrance1",1,"12.45 mins",6
"general-gate7","entrance3",1,"15.02 mins",24
"general-gate7","general-gate4",1,"7.052 mins",58
"ranger-stop0","general-gate2",1,"3.187 mins",72
"ranger-stop0","ranger-stop2",1,"3.024 mins",19
"ranger-stop2","general-gate1",1,"2.606 mins",19
"ranger-stop2","ranger-stop0",1,"3.027 mins",72
