"source","target","color","label","value"
"camping0","camping0",1,"2.784 horas",5
"camping0","general-gate7",1,"17.65 mins",5
"camping1","camping1",1,"1.323 horas",1
"camping1","general-gate0",1,"7.15 mins",1
"camping3","camping3",1,"3.801 horas",8
"camping3","entrance1",1,"10.64 mins",2
"camping3","general-gate7",1,"13.76 mins",6
"camping4","camping4",1,"3.458 horas",8
"camping4","entrance1",1,"7.967 mins",1
"camping4","general-gate7",1,"10.4 mins",7
"camping5","camping5",1,"3.945 horas",4
"camping5","general-gate7",1,"10.12 mins",4
"camping6","camping6",1,"2.7 horas",15
"camping6","entrance4",1,"2.344 mins",3
"camping6","general-gate5",1,"10.61 mins",12
"camping7","camping7",1,"2.72 horas",4
"camping7","general-gate6",1,"8.787 mins",4
"camping8","camping8",1,"2.656 horas",6
"camping8","general-gate2",1,"20.01 mins",5
"camping8","general-gate3",1,"0.9333 mins",1
"entrance1","camping0",1,"15.18 mins",5
"entrance1","camping3",1,"11.07 mins",8
"entrance1","camping4",1,"7.71 mins",8
"entrance1","general-gate7",1,"13.27 mins",30
"entrance1","ranger-stop1",1,"7.5 mins",4
"general-gate0","camping1",1,"7.267 mins",1
"general-gate0","general-gate2",1,"3.683 mins",1
"general-gate1","entrance0",1,"1.583 mins",5
"general-gate1","entrance3",1,"20.99 mins",9
"general-gate1","general-gate4",1,"11.52 mins",5
"general-gate1","ranger-stop2",1,"2.677 mins",37
"general-gate2","camping8",1,"19.84 mins",6
"general-gate2","entrance2",1,"20.26 mins",9
"general-gate2","general-gate0",1,"3.683 mins",1
"general-gate2","general-gate5",1,"11.97 mins",21
"general-gate2","ranger-stop0",1,"3.289 mins",19
"general-gate3","entrance2",1,"5.55 mins",1
"general-gate4","entrance0",1,"12.73 mins",1
"general-gate4","general-gate1",1,"11.45 mins",37
"general-gate4","general-gate7",1,"7.247 mins",5
"general-gate5","camping6",1,"10.63 mins",15
"general-gate5","entrance4",1,"10.74 mins",2
"general-gate5","general-gate2",1,"11.89 mins",13
"general-gate5","general-gate6",1,"4.333 mins",4
"general-gate6","camping7",1,"8.879 mins",4
"general-gate6","entrance2",1,"14.58 mins",3
"general-gate6","general-gate5",1,"3.883 mins",1
"general-gate7","camping5",1,"10.18 mins",4
"general-gate7","entrance1",1,"13.41 mins",5
"general-gate7","entrance3",1,"15.2 mins",10
"general-gate7","general-gate4",1,"7.199 mins",38
"ranger-stop0","general-gate2",1,"3.286 mins",37
"ranger-stop0","ranger-stop2",1,"3.111 mins",19
"ranger-stop1","entrance1",1,"7.45 mins",4
"ranger-stop1","ranger-stop1",1,"4.042 horas",4
"ranger-stop2","general-gate1",1,"2.681 mins",19
"ranger-stop2","ranger-stop0",1,"3.118 mins",37
