"source","target","value"
"camping0","camping0",3
"camping0","entrance1",3
"camping1","camping1",15
"camping1","entrance2",4
"camping1","general-gate0",5
"camping1","general-gate5",6
"camping2","camping2",3
"camping2","entrance1",3
"camping3","camping3",24
"camping3","entrance1",17
"camping3","general-gate7",7
"camping4","camping4",16
"camping4","entrance1",4
"camping4","general-gate7",12
"camping5","camping5",14
"camping5","general-gate7",14
"camping6","camping6",59
"camping6","entrance2",26
"camping6","entrance4",31
"camping6","general-gate5",2
"camping7","camping7",31
"camping7","general-gate6",31
"camping8","camping8",16
"camping8","general-gate2",1
"camping8","general-gate3",10
"camping8","general-gate5",5
"entrance0","entrance3",363
"entrance0","general-gate1",890
"entrance0","general-gate4",514
"general-gate0","camping1",15
"general-gate0","general-gate2",5
"general-gate1","entrance0",7
"general-gate1","entrance3",2
"general-gate1","general-gate1",1
"general-gate1","ranger-stop2",889
"general-gate2","camping8",17
"general-gate2","entrance2",388
"general-gate2","general-gate0",15
"general-gate2","general-gate5",469
"general-gate2","ranger-stop0",8
"general-gate3","entrance2",10
"general-gate4","entrance0",7
"general-gate4","general-gate7",514
"general-gate5","camping6",60
"general-gate5","entrance4",389
"general-gate5","general-gate2",2
"general-gate5","general-gate6",31
"general-gate6","camping7",31
"general-gate6","entrance2",14
"general-gate6","entrance4",17
"general-gate7","camping0",3
"general-gate7","camping2",3
"general-gate7","camping3",24
"general-gate7","camping4",18
"general-gate7","camping5",14
"general-gate7","entrance1",453
"general-gate7","entrance3",25
"general-gate7","general-gate4",7
"ranger-stop0","general-gate2",889
"ranger-stop0","ranger-stop2",8
"ranger-stop2","general-gate1",8
"ranger-stop2","ranger-stop0",889
