"source","target","color","label","value"
"camping0","camping0",1,"5.884 horas",3
"camping0","general-gate7",1,"18.13 mins",3
"camping1","camping1",1,"9.174 horas",2
"camping1","general-gate0",1,"7.367 mins",2
"camping2","camping2",1,"6.124 horas",2
"camping2","general-gate7",1,"18.16 mins",2
"camping3","camping3",1,"5.82 horas",3
"camping3","general-gate7",1,"13.17 mins",3
"camping4","camping4",1,"9.159 horas",1
"camping4","general-gate7",1,"10 mins",1
"camping5","camping5",1,"4.921 horas",2
"camping5","general-gate7",1,"10.81 mins",2
"camping6","camping6",1,"6.634 horas",6
"camping6","entrance2",1,"21.02 mins",1
"camping6","entrance4",1,"2.583 mins",1
"camping6","general-gate5",1,"11.1 mins",4
"camping7","camping7",1,"6.668 horas",4
"camping7","general-gate6",1,"8.221 mins",4
"camping8","camping8",1,"6.622 horas",7
"camping8","general-gate2",1,"20.79 mins",7
"entrance2","camping1",1,"16.96 mins",2
"entrance2","camping6",1,"21.35 mins",6
"entrance2","entrance2",1,"4.966 horas",2
"entrance2","general-gate2",1,"20.11 mins",12
"entrance2","general-gate3",1,"6.193 mins",7
"entrance2","general-gate6",1,"13.07 mins",4
"general-gate0","general-gate2",1,"3.767 mins",2
"general-gate1","entrance0",1,"1.692 mins",4
"general-gate1","entrance3",1,"20.78 mins",8
"general-gate1","general-gate4",1,"11.4 mins",14
"general-gate1","ranger-stop2",1,"2.75 mins",4
"general-gate2","entrance2",1,"21.16 mins",3
"general-gate2","general-gate5",1,"11.87 mins",1
"general-gate2","ranger-stop0",1,"3.303 mins",26
"general-gate3","camping8",1,"1.026 mins",7
"general-gate4","entrance0",1,"11.98 mins",1
"general-gate4","general-gate1",1,"11.77 mins",4
"general-gate4","general-gate7",1,"7.174 mins",14
"general-gate5","entrance4",1,"10.33 mins",1
"general-gate5","general-gate2",1,"12.1 mins",5
"general-gate6","camping7",1,"8.3 mins",4
"general-gate6","entrance2",1,"14.73 mins",1
"general-gate6","entrance4",1,"6.142 mins",2
"general-gate6","general-gate5",1,"3.717 mins",1
"general-gate7","camping0",1,"18.22 mins",3
"general-gate7","camping2",1,"18.23 mins",2
"general-gate7","camping3",1,"13.28 mins",3
"general-gate7","camping4",1,"10.07 mins",1
"general-gate7","camping5",1,"10.87 mins",2
"general-gate7","entrance1",1,"13.83 mins",4
"general-gate7","entrance3",1,"14.45 mins",5
"general-gate7","general-gate4",1,"7.26 mins",5
"ranger-stop0","general-gate2",1,"3.375 mins",4
"ranger-stop0","ranger-stop2",1,"3.126 mins",26
"ranger-stop2","general-gate1",1,"2.694 mins",26
"ranger-stop2","ranger-stop0",1,"3.212 mins",4
