"source","target","value"
"camping0","camping0",3
"camping0","general-gate7",3
"camping1","camping1",5
"camping1","general-gate0",5
"camping2","camping2",3
"camping2","general-gate7",3
"camping3","camping3",17
"camping3","general-gate7",17
"camping4","camping4",1
"camping4","entrance1",1
"camping5","camping5",4
"camping5","general-gate7",4
"camping6","camping6",4
"camping6","entrance4",1
"camping6","general-gate5",3
"camping7","camping7",7
"camping7","general-gate6",7
"camping8","camping8",9
"camping8","general-gate2",5
"camping8","general-gate3",1
"camping8","general-gate5",3
"entrance3","general-gate1",25
"entrance3","general-gate7",28
"general-gate0","camping1",5
"general-gate0","general-gate2",5
"general-gate1","entrance0",5
"general-gate1","entrance3",11
"general-gate1","general-gate4",2
"general-gate1","ranger-stop2",38
"general-gate2","camping8",9
"general-gate2","entrance2",8
"general-gate2","general-gate0",5
"general-gate2","general-gate5",16
"general-gate2","ranger-stop0",18
"general-gate3","entrance2",1
"general-gate4","entrance0",3
"general-gate4","general-gate1",13
"general-gate4","general-gate7",2
"general-gate5","camping6",4
"general-gate5","entrance4",8
"general-gate5","general-gate2",8
"general-gate5","general-gate6",7
"general-gate6","camping7",7
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",5
"general-gate7","camping0",3
"general-gate7","camping2",3
"general-gate7","camping3",17
"general-gate7","camping4",1
"general-gate7","camping5",4
"general-gate7","entrance1",2
"general-gate7","entrance3",11
"general-gate7","general-gate4",16
"ranger-stop0","general-gate2",38
"ranger-stop0","ranger-stop2",18
"ranger-stop2","general-gate1",18
"ranger-stop2","ranger-stop0",38
