"source","target","color","label","value"
"camping0","camping0",1,"[ 0.05,18.72) mins",14
"camping0","camping0",2,"[18.72,37.38] mins",1
"camping0","general-gate7",1,"19 mins",15
"camping1","camping1",1,"0.08882 horas",20
"camping1","entrance2",1,"17.28 mins",2
"camping1","general-gate0",1,"7.279 mins",11
"camping1","general-gate5",1,"8.379 mins",7
"camping2","camping2",1,"0.3659 horas",14
"camping2","general-gate7",1,"17.62 mins",14
"camping3","camping3",1,"0.2062 horas",47
"camping3","general-gate7",1,"13.42 mins",47
"camping4","camping4",1,"[ 0.0667,21.1000) mins",14
"camping4","camping4",2,"[21.1000,42.1333] mins",1
"camping4","general-gate7",1,"10.16 mins",15
"camping5","camping5",1,"0.1644 horas",18
"camping5","general-gate7",1,"9.808 mins",18
"camping6","camping6",1,"0.03889 horas",123
"camping6","entrance2",1,"19.71 mins",27
"camping6","entrance4",1,"2.489 mins",17
"camping6","general-gate5",1,"10.29 mins",79
"camping7","camping7",1,"0.06646 horas",72
"camping7","general-gate6",1,"8.525 mins",72
"camping8","camping8",1,"0.05238 horas",57
"camping8","general-gate2",1,"20.27 mins",39
"camping8","general-gate3",1,"0.9688 mins",8
"camping8","general-gate5",1,"13.12 mins",10
"entrance1","camping0",1,"16.34 mins",15
"entrance1","camping2",1,"5.71 mins",14
"entrance1","camping3",1,"10.91 mins",47
"entrance1","camping4",1,"7.489 mins",15
"entrance1","general-gate7",1,"13.67 mins",788
"entrance1","ranger-stop1",1,"7.733 mins",1
"general-gate0","camping1",1,"7.446 mins",20
"general-gate0","general-gate2",1,"3.738 mins",11
"general-gate1","entrance0",1,"1.558 mins",46
"general-gate1","entrance3",1,"20.9 mins",88
"general-gate1","general-gate4",1,"11.29 mins",31
"general-gate1","ranger-stop2",1,"2.743 mins",865
"general-gate2","camping8",1,"20.19 mins",57
"general-gate2","entrance2",1,"21.31 mins",286
"general-gate2","general-gate0",1,"3.782 mins",20
"general-gate2","general-gate5",1,"12.03 mins",502
"general-gate2","ranger-stop0",1,"3.25 mins",165
"general-gate3","entrance2",1,"5.815 mins",8
"general-gate4","entrance0",1,"13.03 mins",4
"general-gate4","general-gate1",1,"11.72 mins",865
"general-gate4","general-gate7",1,"7.105 mins",31
"general-gate5","camping6",1,"10.49 mins",125
"general-gate5","entrance4",1,"10.62 mins",322
"general-gate5","general-gate2",1,"11.62 mins",115
"general-gate5","general-gate6",1,"4.204 mins",72
"general-gate6","camping7",1,"8.61 mins",72
"general-gate6","entrance2",1,"13.63 mins",22
"general-gate6","entrance4",1,"6.53 mins",14
"general-gate6","general-gate5",1,"4.2 mins",36
"general-gate7","camping5",1,"9.866 mins",18
"general-gate7","entrance1",1,"13.16 mins",31
"general-gate7","entrance3",1,"15.22 mins",10
"general-gate7","general-gate4",1,"7.378 mins",869
"ranger-stop0","general-gate2",1,"3.362 mins",865
"ranger-stop0","ranger-stop2",1,"3.077 mins",165
"ranger-stop1","entrance1",1,"7.667 mins",1
"ranger-stop1","ranger-stop1",1,"1.417 horas",1
"ranger-stop2","general-gate1",1,"2.65 mins",165
"ranger-stop2","ranger-stop0",1,"3.193 mins",865
