"source","target","color","label","value"
"camping0","camping0",1,"5.213 horas",3
"camping0","general-gate7",1,"17.14 mins",3
"camping1","camping1",1,"7.757 horas",1
"camping1","general-gate0",1,"7.3 mins",1
"camping2","camping2",1,"6.023 horas",1
"camping2","general-gate7",1,"15.78 mins",1
"camping3","camping3",1,"6.385 horas",7
"camping3","general-gate7",1,"13.88 mins",7
"camping4","camping4",1,"5.437 horas",2
"camping4","general-gate7",1,"9.892 mins",2
"camping5","camping5",1,"6.116 horas",1
"camping5","general-gate7",1,"9.367 mins",1
"camping6","camping6",1,"7.192 horas",10
"camping6","entrance2",1,"18.47 mins",1
"camping6","entrance4",1,"2.617 mins",2
"camping6","general-gate5",1,"10.51 mins",7
"camping7","camping7",1,"7.527 horas",2
"camping7","general-gate6",1,"8.692 mins",2
"camping8","camping8",1,"6.74 horas",5
"camping8","general-gate2",1,"19.32 mins",3
"camping8","general-gate5",1,"14.5 mins",2
"entrance0","entrance0",1,"5.392 horas",2
"entrance0","general-gate1",1,"1.55 mins",19
"entrance0","general-gate4",1,"12.4 mins",14
"general-gate0","camping1",1,"7.417 mins",1
"general-gate0","general-gate2",1,"3.733 mins",1
"general-gate1","entrance0",1,"1.479 mins",4
"general-gate1","entrance3",1,"21.26 mins",6
"general-gate1","general-gate4",1,"11.94 mins",3
"general-gate1","ranger-stop2",1,"2.71 mins",24
"general-gate2","camping8",1,"20.56 mins",5
"general-gate2","entrance2",1,"23.02 mins",1
"general-gate2","general-gate0",1,"3.767 mins",1
"general-gate2","general-gate5",1,"11.83 mins",17
"general-gate2","ranger-stop0",1,"3.264 mins",13
"general-gate4","entrance0",1,"11.72 mins",3
"general-gate4","general-gate1",1,"11.14 mins",5
"general-gate4","general-gate7",1,"7.066 mins",17
"general-gate5","camping6",1,"10.72 mins",10
"general-gate5","entrance4",1,"10.35 mins",7
"general-gate5","general-gate2",1,"11.86 mins",9
"general-gate5","general-gate6",1,"4.292 mins",2
"general-gate6","camping7",1,"8.775 mins",2
"general-gate6","general-gate5",1,"4.292 mins",2
"general-gate7","camping0",1,"17.21 mins",3
"general-gate7","camping2",1,"15.85 mins",1
"general-gate7","camping3",1,"13.99 mins",7
"general-gate7","camping4",1,"9.983 mins",2
"general-gate7","camping5",1,"9.4 mins",1
"general-gate7","entrance1",1,"13.91 mins",3
"general-gate7","entrance3",1,"15.02 mins",6
"general-gate7","general-gate4",1,"6.85 mins",8
"ranger-stop0","general-gate2",1,"3.31 mins",24
"ranger-stop0","ranger-stop2",1,"3.087 mins",13
"ranger-stop2","general-gate1",1,"2.658 mins",13
"ranger-stop2","ranger-stop0",1,"3.146 mins",24
