"source","target","color","label","value"
"camping0","camping0",1,"3.612 horas",3
"camping0","general-gate7",1,"16.66 mins",3
"camping1","camping1",1,"2.778 horas",5
"camping1","general-gate0",1,"7.297 mins",5
"camping2","camping2",1,"2.746 horas",3
"camping2","general-gate7",1,"18.21 mins",3
"camping3","camping3",1,"3.523 horas",17
"camping3","general-gate7",1,"13.9 mins",17
"camping4","camping4",1,"2.586 horas",1
"camping4","entrance1",1,"6.767 mins",1
"camping5","camping5",1,"3.475 horas",4
"camping5","general-gate7",1,"10.07 mins",4
"camping6","camping6",1,"3.116 horas",4
"camping6","entrance4",1,"2.383 mins",1
"camping6","general-gate5",1,"9.961 mins",3
"camping7","camping7",1,"3.143 horas",7
"camping7","general-gate6",1,"8.186 mins",7
"camping8","camping8",1,"3.24 horas",9
"camping8","general-gate2",1,"20.73 mins",5
"camping8","general-gate3",1,"1 mins",1
"camping8","general-gate5",1,"13.61 mins",3
"entrance3","general-gate1",1,"20.7 mins",25
"entrance3","general-gate7",1,"14.9 mins",28
"general-gate0","camping1",1,"7.39 mins",5
"general-gate0","general-gate2",1,"3.747 mins",5
"general-gate1","entrance0",1,"1.64 mins",5
"general-gate1","entrance3",1,"20.1 mins",11
"general-gate1","general-gate4",1,"11.07 mins",2
"general-gate1","ranger-stop2",1,"2.642 mins",38
"general-gate2","camping8",1,"20.76 mins",9
"general-gate2","entrance2",1,"20.35 mins",8
"general-gate2","general-gate0",1,"3.757 mins",5
"general-gate2","general-gate5",1,"11.37 mins",16
"general-gate2","ranger-stop0",1,"3.219 mins",18
"general-gate3","entrance2",1,"6.033 mins",1
"general-gate4","entrance0",1,"13.74 mins",3
"general-gate4","general-gate1",1,"11.34 mins",13
"general-gate4","general-gate7",1,"6.975 mins",2
"general-gate5","camping6",1,"10.18 mins",4
"general-gate5","entrance4",1,"10.28 mins",8
"general-gate5","general-gate2",1,"11.13 mins",8
"general-gate5","general-gate6",1,"4.038 mins",7
"general-gate6","camping7",1,"8.267 mins",7
"general-gate6","entrance2",1,"12.65 mins",1
"general-gate6","entrance4",1,"6.683 mins",1
"general-gate6","general-gate5",1,"4.003 mins",5
"general-gate7","camping0",1,"16.72 mins",3
"general-gate7","camping2",1,"18.29 mins",3
"general-gate7","camping3",1,"14 mins",17
"general-gate7","camping4",1,"9.283 mins",1
"general-gate7","camping5",1,"10.1 mins",4
"general-gate7","entrance1",1,"12.89 mins",2
"general-gate7","entrance3",1,"14.56 mins",11
"general-gate7","general-gate4",1,"7.237 mins",16
"ranger-stop0","general-gate2",1,"3.242 mins",38
"ranger-stop0","ranger-stop2",1,"3.043 mins",18
"ranger-stop2","general-gate1",1,"2.623 mins",18
"ranger-stop2","ranger-stop0",1,"3.078 mins",38
