"source","target","value"
"camping0","camping0",28
"camping0","entrance1",4
"camping0","general-gate7",24
"camping1","camping1",8
"camping1","entrance2",1
"camping1","general-gate0",6
"camping1","general-gate5",1
"camping2","camping2",30
"camping2","entrance1",1
"camping2","general-gate7",29
"camping3","camping3",114
"camping3","entrance1",7
"camping3","general-gate7",107
"camping4","camping4",38
"camping4","entrance1",3
"camping4","general-gate7",35
"camping5","camping5",35
"camping5","general-gate7",35
"camping6","camping6",21
"camping6","entrance4",2
"camping6","general-gate5",19
"camping7","camping7",37
"camping7","general-gate6",37
"camping8","camping8",39
"camping8","general-gate2",38
"camping8","general-gate3",1
"entrance4","camping6",21
"entrance4","general-gate5",555
"entrance4","general-gate6",37
"general-gate0","general-gate2",6
"general-gate1","entrance0",3
"general-gate1","entrance3",59
"general-gate1","general-gate4",544
"general-gate1","ranger-stop2",89
"general-gate2","entrance2",55
"general-gate2","general-gate5",34
"general-gate2","ranger-stop0",606
"general-gate3","entrance2",1
"general-gate4","entrance0",39
"general-gate4","general-gate1",89
"general-gate4","general-gate7",544
"general-gate5","camping1",8
"general-gate5","camping8",39
"general-gate5","entrance4",35
"general-gate5","general-gate2",562
"general-gate6","camping7",37
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",35
"general-gate7","camping0",29
"general-gate7","camping2",30
"general-gate7","camping3",115
"general-gate7","camping4",38
"general-gate7","camping5",36
"general-gate7","entrance1",300
"general-gate7","entrance3",98
"general-gate7","general-gate4",128
"ranger-stop0","general-gate2",89
"ranger-stop0","ranger-stop2",606
"ranger-stop2","general-gate1",606
"ranger-stop2","ranger-stop0",89
