"source","target","value"
"camping0","camping0",23
"camping0","general-gate7",23
"camping1","camping1",11
"camping1","general-gate0",11
"camping2","camping2",30
"camping2","entrance1",1
"camping2","general-gate7",29
"camping3","camping3",82
"camping3","general-gate7",82
"camping4","camping4",26
"camping4","entrance1",1
"camping4","general-gate7",25
"camping5","camping5",28
"camping5","general-gate7",28
"camping6","camping6",66
"camping6","entrance2",3
"camping6","general-gate5",63
"camping7","camping7",47
"camping7","general-gate6",47
"camping8","camping8",32
"camping8","general-gate2",29
"camping8","general-gate5",3
"entrance0","general-gate1",156
"entrance0","general-gate4",189
"general-gate0","camping1",11
"general-gate0","general-gate2",11
"general-gate1","entrance0",18
"general-gate1","entrance3",92
"general-gate1","general-gate4",31
"general-gate1","ranger-stop2",266
"general-gate2","camping8",32
"general-gate2","entrance2",52
"general-gate2","general-gate0",11
"general-gate2","general-gate5",171
"general-gate2","ranger-stop0",141
"general-gate4","entrance0",27
"general-gate4","general-gate1",110
"general-gate4","general-gate7",220
"general-gate5","camping6",66
"general-gate5","entrance4",61
"general-gate5","general-gate2",101
"general-gate5","general-gate6",47
"general-gate6","camping7",47
"general-gate6","entrance2",7
"general-gate6","entrance4",2
"general-gate6","general-gate5",38
"general-gate7","camping0",23
"general-gate7","camping2",30
"general-gate7","camping3",82
"general-gate7","camping4",26
"general-gate7","camping5",28
"general-gate7","entrance1",31
"general-gate7","entrance3",50
"general-gate7","general-gate4",137
"ranger-stop0","general-gate2",266
"ranger-stop0","ranger-stop2",141
"ranger-stop2","general-gate1",141
"ranger-stop2","ranger-stop0",266
