"source","target","value"
"camping1","camping1",14
"camping1","entrance2",3
"camping1","general-gate0",8
"camping1","general-gate5",3
"camping4","camping4",1
"camping4","entrance1",1
"camping6","camping6",57
"camping6","entrance2",27
"camping6","entrance4",19
"camping6","general-gate5",11
"camping7","camping7",35
"camping7","general-gate6",35
"camping8","camping8",44
"camping8","general-gate2",19
"camping8","general-gate3",12
"camping8","general-gate5",13
"entrance2","camping1",14
"entrance2","camping6",58
"entrance2","entrance4",416
"entrance2","general-gate2",1045
"entrance2","general-gate3",44
"entrance2","general-gate6",35
"general-gate0","general-gate2",8
"general-gate1","entrance0",443
"general-gate1","entrance3",432
"general-gate1","general-gate4",211
"general-gate2","ranger-stop0",1086
"general-gate3","camping8",44
"general-gate3","entrance2",12
"general-gate4","general-gate7",210
"general-gate5","entrance4",16
"general-gate5","general-gate2",14
"general-gate6","camping7",35
"general-gate6","entrance2",18
"general-gate6","entrance4",14
"general-gate6","general-gate5",3
"general-gate7","camping4",2
"general-gate7","entrance1",207
"ranger-stop0","ranger-stop2",1086
"ranger-stop2","general-gate1",1086
