"source","target","color","label","value"
"camping0","camping0",1,"[14.6,18.4) horas",2
"camping0","camping0",2,"[18.4,22.1] horas",13
"camping0","entrance1",1,"15.08 mins",2
"camping0","general-gate7",1,"18.87 mins",13
"camping2","camping2",1,"[13.7,18.0) horas",2
"camping2","camping2",2,"[18.0,22.3] horas",11
"camping2","entrance1",1,"5.983 mins",4
"camping2","general-gate7",1,"17.42 mins",9
"camping3","camping3",1,"[16.1,19.4) horas",2
"camping3","camping3",2,"[19.4,22.8] horas",4
"camping3","entrance1",1,"10.11 mins",2
"camping3","general-gate7",1,"14.4 mins",4
"camping4","camping4",1,"[13.7,18.3) horas",5
"camping4","camping4",2,"[18.3,22.9] horas",17
"camping4","entrance1",1,"6.813 mins",5
"camping4","general-gate7",1,"9.715 mins",17
"camping5","camping5",1,"[13.7,18.0) horas",5
"camping5","camping5",2,"[18.0,22.4] horas",9
"camping5","general-gate7",1,"9.779 mins",14
"camping6","camping6",1,"[13.7,18.5) horas",2
"camping6","camping6",2,"[18.5,23.2] horas",4
"camping6","entrance2",1,"21.35 mins",2
"camping6","entrance4",1,"2.5 mins",1
"camping6","general-gate5",1,"10.11 mins",3
"camping7","camping7",1,"[13.7,18.0) horas",4
"camping7","camping7",2,"[18.0,22.2] horas",9
"camping7","general-gate6",1,"8.66 mins",13
"camping8","camping8",1,"[15.0,18.9) horas",10
"camping8","camping8",2,"[18.9,22.7] horas",14
"camping8","general-gate2",1,"20.48 mins",17
"camping8","general-gate3",1,"1.025 mins",4
"camping8","general-gate5",1,"13.47 mins",3
"entrance0","general-gate1",1,"1.54 mins",43
"entrance0","general-gate4",1,"12.53 mins",70
"general-gate1","entrance0",1,"1.567 mins",10
"general-gate1","entrance3",1,"21.45 mins",10
"general-gate1","general-gate4",1,"11.53 mins",8
"general-gate1","ranger-stop2",1,"2.684 mins",68
"general-gate2","camping8",1,"20.57 mins",24
"general-gate2","entrance2",1,"20.62 mins",11
"general-gate2","general-gate5",1,"11.66 mins",33
"general-gate2","ranger-stop0",1,"3.299 mins",28
"general-gate3","entrance2",1,"6.125 mins",4
"general-gate4","entrance0",1,"12.98 mins",8
"general-gate4","general-gate1",1,"11.23 mins",25
"general-gate4","general-gate7",1,"7.067 mins",78
"general-gate5","camping6",1,"10.72 mins",6
"general-gate5","entrance4",1,"9.965 mins",17
"general-gate5","general-gate2",1,"11.72 mins",11
"general-gate5","general-gate6",1,"4.268 mins",13
"general-gate6","camping7",1,"8.755 mins",13
"general-gate6","entrance2",1,"13.23 mins",3
"general-gate6","entrance4",1,"7.05 mins",2
"general-gate6","general-gate5",1,"4.273 mins",8
"general-gate7","camping0",1,"18.79 mins",15
"general-gate7","camping2",1,"17.86 mins",13
"general-gate7","camping3",1,"13.86 mins",6
"general-gate7","camping4",1,"9.707 mins",22
"general-gate7","camping5",1,"9.818 mins",14
"general-gate7","entrance1",1,"13.23 mins",10
"general-gate7","entrance3",1,"14.85 mins",22
"general-gate7","general-gate4",1,"7.105 mins",33
"ranger-stop0","general-gate2",1,"3.28 mins",68
"ranger-stop0","ranger-stop2",1,"3.125 mins",28
"ranger-stop2","general-gate1",1,"2.692 mins",28
"ranger-stop2","ranger-stop0",1,"3.113 mins",68
