"source","target","color","label","value"
"camping0","camping0",1,"4.769 horas",1
"camping0","general-gate7",1,"16.75 mins",1
"camping1","camping1",1,"9.532 horas",1
"camping1","general-gate0",1,"7.35 mins",1
"camping3","camping3",1,"6.55 horas",11
"camping3","entrance1",1,"10.63 mins",1
"camping3","general-gate7",1,"13.79 mins",10
"camping4","camping4",1,"5.529 horas",3
"camping4","entrance1",1,"7.667 mins",1
"camping4","general-gate7",1,"9.558 mins",2
"camping5","camping5",1,"4.688 horas",1
"camping5","general-gate7",1,"11.23 mins",1
"camping6","camping6",1,"6.876 horas",12
"camping6","entrance2",1,"19.66 mins",2
"camping6","entrance4",1,"2.344 mins",3
"camping6","general-gate5",1,"10.38 mins",7
"camping7","camping7",1,"7.145 horas",6
"camping7","general-gate6",1,"8.514 mins",6
"camping8","camping8",1,"5.004 horas",1
"camping8","general-gate2",1,"18.28 mins",1
"entrance4","camping6",1,"2.385 mins",12
"entrance4","general-gate5",1,"10.09 mins",18
"entrance4","general-gate6",1,"6.444 mins",6
"general-gate0","general-gate2",1,"3.767 mins",1
"general-gate1","entrance0",1,"1.592 mins",2
"general-gate1","entrance3",1,"20.79 mins",9
"general-gate1","general-gate4",1,"11.24 mins",19
"general-gate1","ranger-stop2",1,"2.565 mins",8
"general-gate2","entrance2",1,"19.87 mins",2
"general-gate2","general-gate5",1,"11.23 mins",6
"general-gate2","ranger-stop0",1,"3.241 mins",30
"general-gate4","entrance0",1,"13.19 mins",5
"general-gate4","general-gate1",1,"10.93 mins",8
"general-gate4","general-gate7",1,"7.083 mins",19
"general-gate5","camping1",1,"8.383 mins",1
"general-gate5","camping8",1,"12.02 mins",1
"general-gate5","entrance4",1,"9.756 mins",6
"general-gate5","general-gate2",1,"11.67 mins",28
"general-gate6","camping7",1,"8.603 mins",6
"general-gate6","entrance2",1,"14.82 mins",1
"general-gate6","general-gate5",1,"4.123 mins",5
"general-gate7","camping0",1,"16.82 mins",1
"general-gate7","camping3",1,"13.83 mins",11
"general-gate7","camping4",1,"9.967 mins",3
"general-gate7","camping5",1,"11.3 mins",1
"general-gate7","entrance1",1,"12.49 mins",3
"general-gate7","entrance3",1,"16.65 mins",1
"general-gate7","general-gate4",1,"7.071 mins",13
"ranger-stop0","general-gate2",1,"3.138 mins",8
"ranger-stop0","ranger-stop2",1,"3.066 mins",30
"ranger-stop2","general-gate1",1,"2.642 mins",30
"ranger-stop2","ranger-stop0",1,"2.975 mins",8
