"source","target","color","label","value"
"camping0","camping0",1,"[14.4,18.4) horas",11
"camping0","camping0",2,"[18.4,22.3] horas",5
"camping0","entrance1",1,"16.73 mins",2
"camping0","general-gate7",1,"18.61 mins",14
"camping1","camping1",1,"2.426 horas",2
"camping1","general-gate0",1,"6.75 mins",2
"camping2","camping2",1,"[12.8,17.6) horas",7
"camping2","camping2",2,"[17.6,22.3] horas",10
"camping2","entrance1",1,"5.908 mins",2
"camping2","general-gate7",1,"17.85 mins",15
"camping3","camping3",1,"[15.2,18.8) horas",6
"camping3","camping3",2,"[18.8,22.4] horas",3
"camping3","general-gate7",1,"13.77 mins",9
"camping4","camping4",1,"[12.6,17.6) horas",6
"camping4","camping4",2,"[17.6,22.6] horas",18
"camping4","entrance1",1,"6.9 mins",2
"camping4","general-gate7",1,"9.758 mins",22
"camping5","camping5",1,"[14.4,18.4) horas",9
"camping5","camping5",2,"[18.4,22.4] horas",15
"camping5","general-gate7",1,"9.634 mins",24
"camping6","camping6",1,"[16.1,19.6) horas",6
"camping6","camping6",2,"[19.6,23.2] horas",4
"camping6","entrance2",1,"21.77 mins",2
"camping6","entrance4",1,"2.178 mins",3
"camping6","general-gate5",1,"10.34 mins",5
"camping7","camping7",1,"[13.9,18.6) horas",6
"camping7","camping7",2,"[18.6,23.2] horas",10
"camping7","general-gate6",1,"8.535 mins",16
"camping8","camping8",1,"[13.3,18.4) horas",9
"camping8","camping8",2,"[18.4,23.5] horas",16
"camping8","general-gate2",1,"20.99 mins",16
"camping8","general-gate3",1,"0.9208 mins",4
"camping8","general-gate5",1,"13.59 mins",5
"entrance2","camping1",1,"15.57 mins",2
"entrance2","camping6",1,"19.79 mins",10
"entrance2","general-gate2",1,"19.96 mins",88
"entrance2","general-gate3",1,"6.197 mins",25
"entrance2","general-gate6",1,"13.58 mins",16
"general-gate0","general-gate2",1,"3.458 mins",2
"general-gate1","entrance0",1,"1.606 mins",9
"general-gate1","entrance3",1,"[18.2,21.1) mins",8
"general-gate1","entrance3",2,"[21.1,23.9] mins",11
"general-gate1","general-gate4",1,"11.16 mins",92
"general-gate1","ranger-stop2",1,"2.61 mins",27
"general-gate2","entrance2",1,"[17.9,20.5) mins",8
"general-gate2","entrance2",2,"[20.5,23.2] mins",5
"general-gate2","general-gate5",1,"11.37 mins",14
"general-gate2","ranger-stop0",1,"3.234 mins",120
"general-gate3","camping8",1,"1.026 mins",25
"general-gate3","entrance2",1,"5.988 mins",4
"general-gate4","entrance0",1,"12.59 mins",21
"general-gate4","general-gate1",1,"11.15 mins",27
"general-gate4","general-gate7",1,"7.03 mins",92
"general-gate5","entrance4",1,"10.04 mins",19
"general-gate5","general-gate2",1,"11.43 mins",14
"general-gate6","camping7",1,"8.617 mins",16
"general-gate6","entrance2",1,"14.24 mins",3
"general-gate6","entrance4",1,"6.758 mins",4
"general-gate6","general-gate5",1,"4.078 mins",9
"general-gate7","camping0",1,"18.81 mins",16
"general-gate7","camping2",1,"17.99 mins",17
"general-gate7","camping3",1,"13.87 mins",9
"general-gate7","camping4",1,"9.822 mins",24
"general-gate7","camping5",1,"9.676 mins",24
"general-gate7","entrance1",1,"12.47 mins",7
"general-gate7","entrance3",1,"14.85 mins",31
"general-gate7","general-gate4",1,"7.023 mins",48
"ranger-stop0","general-gate2",1,"3.2 mins",27
"ranger-stop0","ranger-stop2",1,"3.062 mins",120
"ranger-stop2","general-gate1",1,"2.635 mins",120
"ranger-stop2","ranger-stop0",1,"3.036 mins",27
