"source","target","value"
"camping0","camping0",3
"camping0","general-gate7",3
"camping1","camping1",2
"camping1","general-gate0",2
"camping2","camping2",2
"camping2","general-gate7",2
"camping3","camping3",3
"camping3","general-gate7",3
"camping4","camping4",1
"camping4","general-gate7",1
"camping5","camping5",2
"camping5","general-gate7",2
"camping6","camping6",6
"camping6","entrance2",1
"camping6","entrance4",1
"camping6","general-gate5",4
"camping7","camping7",4
"camping7","general-gate6",4
"camping8","camping8",7
"camping8","general-gate2",7
"entrance2","camping1",2
"entrance2","camping6",6
"entrance2","entrance2",2
"entrance2","general-gate2",12
"entrance2","general-gate3",7
"entrance2","general-gate6",4
"general-gate0","general-gate2",2
"general-gate1","entrance0",4
"general-gate1","entrance3",8
"general-gate1","general-gate4",14
"general-gate1","ranger-stop2",4
"general-gate2","entrance2",3
"general-gate2","general-gate5",1
"general-gate2","ranger-stop0",26
"general-gate3","camping8",7
"general-gate4","entrance0",1
"general-gate4","general-gate1",4
"general-gate4","general-gate7",14
"general-gate5","entrance4",1
"general-gate5","general-gate2",5
"general-gate6","camping7",4
"general-gate6","entrance2",1
"general-gate6","entrance4",2
"general-gate6","general-gate5",1
"general-gate7","camping0",3
"general-gate7","camping2",2
"general-gate7","camping3",3
"general-gate7","camping4",1
"general-gate7","camping5",2
"general-gate7","entrance1",4
"general-gate7","entrance3",5
"general-gate7","general-gate4",5
"ranger-stop0","general-gate2",4
"ranger-stop0","ranger-stop2",26
"ranger-stop2","general-gate1",26
"ranger-stop2","ranger-stop0",4
