"source","target","color","label","value"
"camping1","camping1",1,"0.09167 mins",14
"camping1","entrance2",1,"16.77 mins",3
"camping1","general-gate0",1,"7.256 mins",8
"camping1","general-gate5",1,"8.344 mins",3
"camping4","camping4",1,"0.08333 mins",1
"camping4","entrance1",1,"6.583 mins",1
"camping6","camping6",1,"0.2904 mins",57
"camping6","entrance2",1,"19.48 mins",27
"camping6","entrance4",1,"2.383 mins",19
"camping6","general-gate5",1,"10.5 mins",11
"camping7","camping7",1,"0.1057 mins",35
"camping7","general-gate6",1,"8.57 mins",35
"camping8","camping8",1,"[ 0.05,12.51) mins",43
"camping8","camping8",2,"[12.51,24.97] mins",1
"camping8","general-gate2",1,"19.56 mins",19
"camping8","general-gate3",1,"0.8944 mins",12
"camping8","general-gate5",1,"12.7 mins",13
"entrance2","camping1",1,"16.83 mins",14
"entrance2","camping6",1,"19.81 mins",58
"entrance2","entrance4",1,"19.32 mins",416
"entrance2","general-gate2",1,"19.88 mins",1045
"entrance2","general-gate3",1,"5.792 mins",44
"entrance2","general-gate6",1,"13.65 mins",35
"general-gate0","general-gate2",1,"3.729 mins",8
"general-gate1","entrance0",1,"1.566 mins",443
"general-gate1","entrance3",1,"20.85 mins",432
"general-gate1","general-gate4",1,"10.48 mins",211
"general-gate2","ranger-stop0",1,"3.203 mins",1086
"general-gate3","camping8",1,"0.961 mins",44
"general-gate3","entrance2",1,"5.814 mins",12
"general-gate4","general-gate7",1,"6.597 mins",210
"general-gate5","entrance4",1,"9.884 mins",16
"general-gate5","general-gate2",1,"11.66 mins",14
"general-gate6","camping7",1,"8.657 mins",35
"general-gate6","entrance2",1,"13.87 mins",18
"general-gate6","entrance4",1,"6.532 mins",14
"general-gate6","general-gate5",1,"3.95 mins",3
"general-gate7","camping4",1,"9.333 mins",2
"general-gate7","entrance1",1,"12.2 mins",207
"ranger-stop0","ranger-stop2",1,"3.033 mins",1086
"ranger-stop2","general-gate1",1,"2.612 mins",1086
