"source","target","color","label","value"
"camping0","camping0",1,"2.984 horas",2
"camping0","general-gate7",1,"18.47 mins",2
"camping1","camping1",1,"2.788 horas",3
"camping1","general-gate0",1,"7.333 mins",3
"camping2","camping2",1,"2.794 horas",6
"camping2","general-gate7",1,"17.37 mins",6
"camping3","camping3",1,"3.121 horas",8
"camping3","entrance1",1,"11.12 mins",1
"camping3","general-gate7",1,"13.79 mins",7
"camping4","camping4",1,"3.444 horas",1
"camping4","general-gate7",1,"9.05 mins",1
"camping5","camping5",1,"2.582 horas",4
"camping5","general-gate7",1,"9.208 mins",4
"camping6","camping6",1,"3.665 horas",14
"camping6","entrance2",1,"20.87 mins",3
"camping6","entrance4",1,"2.325 mins",2
"camping6","general-gate5",1,"10.18 mins",9
"camping7","camping7",1,"2.936 horas",9
"camping7","general-gate6",1,"8.556 mins",9
"camping8","camping8",1,"4.106 horas",2
"camping8","general-gate2",1,"19.45 mins",2
"entrance0","general-gate1",1,"1.504 mins",28
"entrance0","general-gate4",1,"12.31 mins",21
"general-gate0","camping1",1,"7.428 mins",3
"general-gate0","general-gate2",1,"3.772 mins",3
"general-gate1","entrance0",1,"1.575 mins",2
"general-gate1","entrance3",1,"20.62 mins",14
"general-gate1","general-gate4",1,"11.2 mins",5
"general-gate1","ranger-stop2",1,"2.621 mins",39
"general-gate2","camping8",1,"19.51 mins",2
"general-gate2","entrance2",1,"19.32 mins",6
"general-gate2","general-gate0",1,"3.778 mins",3
"general-gate2","general-gate5",1,"11.59 mins",28
"general-gate2","ranger-stop0",1,"3.227 mins",21
"general-gate4","entrance0",1,"12.79 mins",2
"general-gate4","general-gate1",1,"10.8 mins",11
"general-gate4","general-gate7",1,"6.94 mins",26
"general-gate5","camping6",1,"10.43 mins",14
"general-gate5","entrance4",1,"9.69 mins",5
"general-gate5","general-gate2",1,"11.57 mins",16
"general-gate5","general-gate6",1,"4.226 mins",9
"general-gate6","camping7",1,"8.637 mins",9
"general-gate6","entrance2",1,"12.32 mins",1
"general-gate6","entrance4",1,"7.2 mins",1
"general-gate6","general-gate5",1,"4.224 mins",7
"general-gate7","camping0",1,"18.52 mins",2
"general-gate7","camping2",1,"17.45 mins",6
"general-gate7","camping3",1,"13.88 mins",8
"general-gate7","camping4",1,"9.117 mins",1
"general-gate7","camping5",1,"9.25 mins",4
"general-gate7","entrance1",1,"13.06 mins",5
"general-gate7","entrance3",1,"14.75 mins",7
"general-gate7","general-gate4",1,"6.853 mins",13
"ranger-stop0","general-gate2",1,"3.201 mins",39
"ranger-stop0","ranger-stop2",1,"3.054 mins",21
"ranger-stop2","general-gate1",1,"2.628 mins",21
"ranger-stop2","ranger-stop0",1,"3.038 mins",39
