"source","target","color","label","value"
"camping0","camping0",1,"[ 0.05,14.93) mins",22
"camping0","camping0",2,"[14.93,29.82] mins",1
"camping0","general-gate7",1,"18.51 mins",23
"camping1","camping1",1,"[ 0.0833,15.0333) mins",10
"camping1","camping1",2,"[15.0333,29.9833] mins",1
"camping1","general-gate0",1,"7.311 mins",11
"camping2","camping2",1,"0.1088 horas",30
"camping2","entrance1",1,"6.25 mins",1
"camping2","general-gate7",1,"18.03 mins",29
"camping3","camping3",1,"0.05877 horas",82
"camping3","general-gate7",1,"14 mins",82
"camping4","camping4",1,"0.08729 horas",26
"camping4","entrance1",1,"7.667 mins",1
"camping4","general-gate7",1,"9.76 mins",25
"camping5","camping5",1,"0.1153 horas",28
"camping5","general-gate7",1,"10.22 mins",28
"camping6","camping6",1,"0.04063 horas",66
"camping6","entrance2",1,"21.35 mins",3
"camping6","general-gate5",1,"10.47 mins",63
"camping7","camping7",1,"0.1316 horas",47
"camping7","general-gate6",1,"8.775 mins",47
"camping8","camping8",1,"0.1722 horas",32
"camping8","general-gate2",1,"19.97 mins",29
"camping8","general-gate5",1,"13.99 mins",3
"entrance0","general-gate1",1,"1.532 mins",156
"entrance0","general-gate4",1,"12.81 mins",189
"general-gate0","camping1",1,"7.409 mins",11
"general-gate0","general-gate2",1,"3.748 mins",11
"general-gate1","entrance0",1,"1.598 mins",18
"general-gate1","entrance3",1,"21.05 mins",92
"general-gate1","general-gate4",1,"11.31 mins",31
"general-gate1","ranger-stop2",1,"2.675 mins",266
"general-gate2","camping8",1,"20.2 mins",32
"general-gate2","entrance2",1,"20.56 mins",52
"general-gate2","general-gate0",1,"3.759 mins",11
"general-gate2","general-gate5",1,"11.75 mins",171
"general-gate2","ranger-stop0",1,"3.282 mins",141
"general-gate4","entrance0",1,"13.05 mins",27
"general-gate4","general-gate1",1,"11.27 mins",110
"general-gate4","general-gate7",1,"7.193 mins",220
"general-gate5","camping6",1,"10.6 mins",66
"general-gate5","entrance4",1,"9.964 mins",61
"general-gate5","general-gate2",1,"11.83 mins",101
"general-gate5","general-gate6",1,"4.327 mins",47
"general-gate6","camping7",1,"8.864 mins",47
"general-gate6","entrance2",1,"15.31 mins",7
"general-gate6","entrance4",1,"6.167 mins",2
"general-gate6","general-gate5",1,"4.278 mins",38
"general-gate7","camping0",1,"18.6 mins",23
"general-gate7","camping2",1,"18.15 mins",30
"general-gate7","camping3",1,"14.1 mins",82
"general-gate7","camping4",1,"9.877 mins",26
"general-gate7","camping5",1,"10.26 mins",28
"general-gate7","entrance1",1,"13.19 mins",31
"general-gate7","entrance3",1,"15.52 mins",50
"general-gate7","general-gate4",1,"7.127 mins",137
"ranger-stop0","general-gate2",1,"3.271 mins",266
"ranger-stop0","ranger-stop2",1,"3.106 mins",141
"ranger-stop2","general-gate1",1,"2.675 mins",141
"ranger-stop2","ranger-stop0",1,"3.105 mins",266
