"source","target","value"
"camping1","camping1",1
"camping1","general-gate0",1
"camping2","camping2",3
"camping2","general-gate7",3
"camping3","camping3",3
"camping3","general-gate7",3
"camping4","camping4",6
"camping4","general-gate7",6
"camping5","camping5",4
"camping5","general-gate7",4
"camping6","camping6",8
"camping6","entrance2",1
"camping6","entrance4",1
"camping6","general-gate5",6
"camping7","camping7",3
"camping7","general-gate6",3
"camping8","camping8",4
"camping8","general-gate2",4
"entrance1","camping2",3
"entrance1","camping3",3
"entrance1","camping4",6
"entrance1","entrance1",4
"entrance1","general-gate7",22
"entrance1","ranger-stop1",1
"general-gate0","camping1",1
"general-gate0","general-gate2",1
"general-gate1","entrance0",1
"general-gate1","entrance3",10
"general-gate1","general-gate4",2
"general-gate1","ranger-stop2",25
"general-gate2","camping8",4
"general-gate2","entrance2",5
"general-gate2","general-gate0",1
"general-gate2","general-gate5",15
"general-gate2","ranger-stop0",13
"general-gate4","entrance0",3
"general-gate4","general-gate1",25
"general-gate4","general-gate7",2
"general-gate5","camping6",8
"general-gate5","entrance4",4
"general-gate5","general-gate2",8
"general-gate5","general-gate6",3
"general-gate6","camping7",3
"general-gate6","entrance4",1
"general-gate6","general-gate5",2
"general-gate7","camping5",4
"general-gate7","entrance1",2
"general-gate7","entrance3",6
"general-gate7","general-gate4",28
"ranger-stop0","general-gate2",25
"ranger-stop0","ranger-stop2",13
"ranger-stop1","entrance1",1
"ranger-stop1","ranger-stop1",1
"ranger-stop2","general-gate1",13
"ranger-stop2","ranger-stop0",25
