"source","target","color","label","value"
"camping1","camping1",1,"5.24 horas",1
"camping1","general-gate0",1,"8.35 mins",1
"camping2","camping2",1,"6.836 horas",3
"camping2","general-gate7",1,"18.11 mins",3
"camping3","camping3",1,"8.118 horas",3
"camping3","general-gate7",1,"14.14 mins",3
"camping4","camping4",1,"7.362 horas",6
"camping4","general-gate7",1,"9.406 mins",6
"camping5","camping5",1,"7.357 horas",4
"camping5","general-gate7",1,"9.796 mins",4
"camping6","camping6",1,"6.267 horas",8
"camping6","entrance2",1,"17.65 mins",1
"camping6","entrance4",1,"2.083 mins",1
"camping6","general-gate5",1,"9.964 mins",6
"camping7","camping7",1,"7.411 horas",3
"camping7","general-gate6",1,"8.55 mins",3
"camping8","camping8",1,"5.515 horas",4
"camping8","general-gate2",1,"20.13 mins",4
"entrance1","camping2",1,"5.878 mins",3
"entrance1","camping3",1,"11.49 mins",3
"entrance1","camping4",1,"6.933 mins",6
"entrance1","entrance1",1,"5.173 horas",4
"entrance1","general-gate7",1,"12.84 mins",22
"entrance1","ranger-stop1",1,"7.9 mins",1
"general-gate0","camping1",1,"8.467 mins",1
"general-gate0","general-gate2",1,"4.3 mins",1
"general-gate1","entrance0",1,"1.467 mins",1
"general-gate1","entrance3",1,"21.06 mins",10
"general-gate1","general-gate4",1,"11.09 mins",2
"general-gate1","ranger-stop2",1,"2.591 mins",25
"general-gate2","camping8",1,"20.2 mins",4
"general-gate2","entrance2",1,"20.14 mins",5
"general-gate2","general-gate0",1,"4.283 mins",1
"general-gate2","general-gate5",1,"11.12 mins",15
"general-gate2","ranger-stop0",1,"3.253 mins",13
"general-gate4","entrance0",1,"12.2 mins",3
"general-gate4","general-gate1",1,"11.06 mins",25
"general-gate4","general-gate7",1,"7 mins",2
"general-gate5","camping6",1,"9.84 mins",8
"general-gate5","entrance4",1,"9.483 mins",4
"general-gate5","general-gate2",1,"11.45 mins",8
"general-gate5","general-gate6",1,"4.211 mins",3
"general-gate6","camping7",1,"8.633 mins",3
"general-gate6","entrance4",1,"6.067 mins",1
"general-gate6","general-gate5",1,"4.367 mins",2
"general-gate7","camping5",1,"9.854 mins",4
"general-gate7","entrance1",1,"12.93 mins",2
"general-gate7","entrance3",1,"15.09 mins",6
"general-gate7","general-gate4",1,"6.946 mins",28
"ranger-stop0","general-gate2",1,"3.173 mins",25
"ranger-stop0","ranger-stop2",1,"3.081 mins",13
"ranger-stop1","entrance1",1,"7.85 mins",1
"ranger-stop1","ranger-stop1",1,"5.751 horas",1
"ranger-stop2","general-gate1",1,"2.655 mins",13
"ranger-stop2","ranger-stop0",1,"3.008 mins",25
