"source","target","color","label","value"
"camping0","camping0",1,"2.423 horas",4
"camping0","general-gate7",1,"18.28 mins",4
"camping1","camping1",1,"3.697 horas",3
"camping1","entrance2",1,"17.13 mins",1
"camping1","general-gate0",1,"7.733 mins",1
"camping1","general-gate5",1,"7.833 mins",1
"camping3","camping3",1,"2.492 horas",12
"camping3","entrance1",1,"12.22 mins",1
"camping3","general-gate7",1,"14.13 mins",11
"camping4","camping4",1,"1.878 horas",3
"camping4","entrance1",1,"8.05 mins",1
"camping4","general-gate7",1,"9.2 mins",2
"camping5","camping5",1,"2.638 horas",3
"camping5","general-gate7",1,"9.706 mins",3
"camping6","camping6",1,"4.242 horas",8
"camping6","entrance2",1,"19.23 mins",2
"camping6","entrance4",1,"2.375 mins",2
"camping6","general-gate5",1,"9.738 mins",4
"camping7","camping7",1,"3.748 horas",7
"camping7","general-gate6",1,"8.419 mins",7
"camping8","camping8",1,"4.042 horas",4
"camping8","general-gate2",1,"21.44 mins",2
"camping8","general-gate3",1,"1.017 mins",1
"camping8","general-gate5",1,"12.4 mins",1
"entrance4","camping6",1,"2.308 mins",8
"entrance4","general-gate5",1,"10.24 mins",29
"entrance4","general-gate6",1,"6.369 mins",7
"general-gate0","general-gate2",1,"3.967 mins",1
"general-gate1","entrance0",1,"1.512 mins",4
"general-gate1","entrance3",1,"21.09 mins",6
"general-gate1","general-gate4",1,"11.43 mins",23
"general-gate1","ranger-stop2",1,"2.65 mins",12
"general-gate2","entrance2",1,"19.89 mins",6
"general-gate2","general-gate5",1,"11.89 mins",6
"general-gate2","ranger-stop0",1,"3.266 mins",33
"general-gate3","entrance2",1,"6.05 mins",1
"general-gate4","entrance0",1,"12.64 mins",2
"general-gate4","general-gate1",1,"11.32 mins",12
"general-gate4","general-gate7",1,"7.198 mins",23
"general-gate5","camping1",1,"8.4 mins",3
"general-gate5","camping8",1,"13.5 mins",4
"general-gate5","entrance4",1,"10.16 mins",8
"general-gate5","general-gate2",1,"11.67 mins",30
"general-gate6","camping7",1,"8.512 mins",7
"general-gate6","entrance2",1,"13.38 mins",3
"general-gate6","general-gate5",1,"4.175 mins",4
"general-gate7","camping0",1,"18.36 mins",4
"general-gate7","camping3",1,"14.3 mins",12
"general-gate7","camping4",1,"9.883 mins",3
"general-gate7","camping5",1,"9.739 mins",3
"general-gate7","entrance1",1,"13.18 mins",2
"general-gate7","entrance3",1,"15.12 mins",5
"general-gate7","general-gate4",1,"7.114 mins",14
"ranger-stop0","general-gate2",1,"3.246 mins",12
"ranger-stop0","ranger-stop2",1,"3.096 mins",33
"ranger-stop2","general-gate1",1,"2.665 mins",33
"ranger-stop2","ranger-stop0",1,"3.081 mins",12
